Title;Country;Region
Journal of Cardiovascular Medicine;United States;Northern America
Journal of Criminal Law and Criminology;United States;Northern America
Journal of Engineering Materials and Technology, Transactions of the ASME;United States;Northern America
Journal of Psychiatric Practice;United States;Northern America
Journal of the Indian Society of Remote Sensing;India;Asiatic Region
Measurement and Control;United States;Northern America
Open Cybernetics and Systemics Journal;Netherlands;Western Europe
Revista de Psicopatologia y Psicologia Clinica;Spain;Western Europe
Statistical Methods and Applications;Germany;Western Europe
Statistics and its Interface;United States;Northern America
Transplant Immunology;Netherlands;Western Europe
ACM Transactions on Parallel Computing;United States;Northern America
Anatomical Science International;United States;Northern America
Archives of Bone and Joint Surgery;Iran;Middle East
Atmosfera;Mexico;Latin America
Automatika;United Kingdom;Western Europe
Conflict Resolution Quarterly;United States;Northern America
Industry and Higher Education;United States;Northern America
International Journal of Nautical Archaeology;United Kingdom;Western Europe
International Journal of Sport Communication;United Kingdom;Western Europe
ISH Journal of Hydraulic Engineering;United Kingdom;Western Europe
Journal of Architectural Engineering;United States;Northern America
Journal of Environmental Studies and Sciences;United States;Northern America
Journal of Essential Oil-Bearing Plants;United Kingdom;Western Europe
Journal of Ethnic and Cultural Diversity in Social Work;United States;Northern America
Journal of Ethnobiology;United States;Northern America
Journal of Pancreatology;United States;Northern America
Journal of Vector Borne Diseases;India;Asiatic Region
Karstenia;Finland;Western Europe
Monaldi Archives for Chest Disease;Italy;Western Europe
NAD Nordic Studies on Alcohol and Drugs;United States;Northern America
Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering;China;Asiatic Region
Process Integration and Optimization for Sustainability;Singapore;Asiatic Region
Rehabilitation Nursing;United States;Northern America
Rodriguesia;Brazil;Latin America
Scandinavian Cardiovascular Journal;United Kingdom;Western Europe
Statistical Applications in Genetics and Molecular Biology;Germany;Western Europe
Surface Science Spectra;United States;Northern America
Anti-Cancer Agents in Medicinal Chemistry;United Arab Emirates;Middle East
Arboricultural Journal;United Kingdom;Western Europe
Asia Pacific Journal of Public Administration;United Kingdom;Western Europe
Automotive Innovation;United States;Northern America
Colloid and Polymer Science;Germany;Western Europe
Communications in Soil Science and Plant Analysis;United States;Northern America
Contemporary Southeast Asia;Singapore;Asiatic Region
Indian Journal of Dermatology;India;Asiatic Region
International Journal of Breast Cancer;Egypt;Africa/Middle East
International Journal of Computer Science in Sport;Austria;Western Europe
Japanese Psychological Research;United Kingdom;Western Europe
Journal of Clinical and Experimental Dentistry;Spain;Western Europe
Kew Bulletin;United Kingdom;Western Europe
Military Medicine;United States;Northern America
Molecular Diversity;Netherlands;Western Europe
Physics of Metals and Metallography;United States;Northern America
Urban Forum;Netherlands;Western Europe
Valori e Valutazioni;Italy;Western Europe
Xenobiotica;United Kingdom;Western Europe
Annals of Carnegie Museum;United States;Northern America
Apunts. Educacion Fisica y Deportes;Spain;Western Europe
Archives of Environmental Protection;Poland;Eastern Europe
Asian Pacific Journal of Tropical Medicine;India;Asiatic Region
Biodemography and Social Biology;United Kingdom;Western Europe
Chinese Journal of Electronics;United States;Northern America
City and Society;United States;Northern America
Drug and Chemical Toxicology;United States;Northern America
Eastern-European Journal of Enterprise Technologies;Ukraine;Eastern Europe
Games;Switzerland;Western Europe
International Journal for Crime, Justice and Social Democracy;Australia;Pacific Region
International Journal of Marine and Coastal Law;Netherlands;Western Europe
JIMD Reports;Germany;Western Europe
Journal of Biological Systems;Singapore;Asiatic Region
Journal of Black Studies;United States;Northern America
Journal of Engineering Thermophysics;United States;Northern America
Journal of International Criminal Justice;United Kingdom;Western Europe
Journal of Theoretical Politics;United Kingdom;Western Europe
Materials Research Express;United Kingdom;Western Europe
Medical Humanities;United Kingdom;Western Europe
New Microbiologica;Italy;Western Europe
Numerical Analysis and Applications;United States;Northern America
OTJR Occupation, Participation and Health;United States;Northern America
PharmaNutrition;Netherlands;Western Europe
Quantum Reports;Switzerland;Western Europe
Rehabilitacia;Slovakia;Eastern Europe
Review of Behavioral Finance;United Kingdom;Western Europe
Science and Society;United States;Northern America
Advances in Oto-Rhino-Laryngology;Switzerland;Western Europe
Arhiv za Higijenu Rada i Toksikologiju;Croatia;Eastern Europe
Asia Pacific Journal of Clinical Nutrition;Australia;Pacific Region
Brazilian Journal of Biology;Brazil;Latin America
Chemical Biology Letters;India;Asiatic Region
Citizenship, Social and Economics Education;United Kingdom;Western Europe
Cogent Education;United Kingdom;Western Europe
Current Oral Health Reports;Netherlands;Western Europe
English in Education;United Kingdom;Western Europe
European Journal of Applied Linguistics;Germany;Western Europe
Forum for Health Economics and Policy;Germany;Western Europe
Journal for Labour Market Research;Switzerland;Western Europe
Journal of Contemporary European Studies;United Kingdom;Western Europe
Journal of Forensic Psychiatry and Psychology;United Kingdom;Western Europe
Journal of Teaching and Learning for Graduate Employability;Australia;Pacific Region
Neues Jahrbuch fur Geologie und Palaontologie - Abhandlungen;Germany;Western Europe
Neurologist;United States;Northern America
Nordic Journal of Criminology;United Kingdom;Western Europe
Porn Studies;United Kingdom;Western Europe
SA Journal of Industrial Psychology;South Africa;Africa
Stochastics and Quality Control;Germany;Western Europe
Studies in American Political Development;United Kingdom;Western Europe
Studies on Russian Economic Development;United States;Northern America
Veterinary Record;United Kingdom;Western Europe
Acta Scientiarum - Agronomy;Brazil;Latin America
Advances in Science and Research;Germany;Western Europe
AIMS Environmental Science;United States;Northern America
Applied Economics Letters;United Kingdom;Western Europe
Australasian Journal of Information Systems;Australia;Pacific Region
Biotribology;United Kingdom;Western Europe
Color Research and Application;United States;Northern America
Folia Primatologica;Switzerland;Western Europe
Indian Journal of Pharmacology;India;Asiatic Region
Innovative Higher Education;Netherlands;Western Europe
International Journal of Police Science and Management;United Kingdom;Western Europe
Journal of Knot Theory and its Ramifications;Singapore;Asiatic Region
Maderas: Ciencia y Tecnologia;Chile;Latin America
Monografias de Traduccion e Interpretacion;Spain;Western Europe
Plasma Physics Reports;United States;Northern America
Proceedings - Electronic Components and Technology Conference;United States;Northern America
Raffles Bulletin of Zoology;Singapore;Asiatic Region
Revista de Psicologia Clinica con Ninos y Adolescentes;Spain;Western Europe
Bulletin of Irkutsk State University, Series Mathematics;Russian Federation;Eastern Europe
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;Germany;Western Europe
China Information;United Kingdom;Western Europe
Entomological Science;United States;Northern America
Illinois Journal of Mathematics;United States;Northern America
International Perspectives in Psychology: Research, Practice, Consultation;Germany;Western Europe
Journal of Molecular Signaling;United Kingdom;Western Europe
Journal of Offender Rehabilitation;United States;Northern America
Journal of Signal Processing Systems;United States;Northern America
Manchester School;United Kingdom;Western Europe
Old Testament Essays;South Africa;Africa
Open Ophthalmology Journal;Netherlands;Western Europe
Pediatric Emergency Care;United States;Northern America
Progress in Development Studies;United Kingdom;Western Europe
Publications;Switzerland;Western Europe
SAGE Open;United States;Northern America
Scientific Programming;Egypt;Africa/Middle East
Technology Innovation Management Review;Canada;Northern America
VINE Journal of Information and Knowledge Management Systems;United Kingdom;Western Europe
Wilderness and Environmental Medicine;United States;Northern America
Acta Ethologica;Germany;Western Europe
Advances in Experimental Medicine and Biology;United States;Northern America
Advances in Group Theory and Applications;Italy;Western Europe
Anthropological Quarterly;United States;Northern America
Emergency Medicine Clinics of North America;United Kingdom;Western Europe
Ethology Ecology and Evolution;United Kingdom;Western Europe
Families in Society;United States;Northern America
Fibres and Textiles in Eastern Europe;Poland;Eastern Europe
Giornale Italiano di Dermatologia e Venereologia;Italy;Western Europe
Human Fertility;United Kingdom;Western Europe
IEEE Pulse;United States;Northern America
Indian Journal of Medical Microbiology;Netherlands;Western Europe
Industrial Lubrication and Tribology;United Kingdom;Western Europe
International Journal of Cardiology: Hypertension;Canada;Northern America
JCRPE Journal of Clinical Research in Pediatric Endocrinology;Turkey;Middle East
Journal of Air Transportation;United States;Northern America
Journal of Comparative Politics;Slovenia;Eastern Europe
Journal of Cultural Analytics;Canada;Northern America
Journal of Ethnicity in Substance Abuse;United States;Northern America
Journal of Intelligent Systems;Germany;Western Europe
Journal of International and Intercultural Communication;United States;Northern America
Journal of Orthopaedic Surgery;United States;Northern America
Multicultural Perspectives;United States;Northern America
Operations and Supply Chain Management;Indonesia;Asiatic Region
Pacific Accounting Review;United Kingdom;Western Europe
Risks;Switzerland;Western Europe
Scientific World Journal, The;Egypt;Africa/Middle East
Acta Neurobiologiae Experimentalis;Poland;Eastern Europe
Acta Scientiarum Mathematicarum;Hungary;Eastern Europe
Advances in Materials and Processing Technologies;United Kingdom;Western Europe
Asian Journal of Civil Engineering;Iran;Middle East
Asian-Pacific Journal of Second and Foreign Language Education;Germany;Western Europe
Blood Pressure;United Kingdom;Western Europe
Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering;Russian Federation;Eastern Europe
Chirality;United States;Northern America
Comparative Studies in Society and History;United Kingdom;Western Europe
Critical Reviews in Oncogenesis;United States;Northern America
HortTechnology;United States;Northern America
Industrial Biotechnology;United States;Northern America
Integrative Medicine Research;Netherlands;Western Europe
International Journal of Chemical Engineering;United States;Northern America
International Journal of Molecular and Cellular Medicine;Iran;Middle East
International Journal of Reproductive BioMedicine;Iran;Middle East
Journal of Craniovertebral Junction and Spine;India;Asiatic Region
Journal of Japanese Linguistics;Germany;Western Europe
Journal of the Textile Institute;United Kingdom;Western Europe
L1 Educational Studies in Language and Literature;Belgium;Western Europe
Latin American Journal of Solids and Structures;Brazil;Latin America
Lingua;Netherlands;Western Europe
Modern Asian Studies;United Kingdom;Western Europe
Polish Journal of Microbiology;Poland;Eastern Europe
Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering;United Kingdom;Western Europe
Seminars in Vascular Surgery;United Kingdom;Western Europe
Studies in Gender and Sexuality;United Kingdom;Western Europe
Turkish Journal of Gastroenterology;Turkey;Middle East
Civil Engineering and Environmental Systems;United Kingdom;Western Europe
Culture and Psychology;United Kingdom;Western Europe
Current Transplantation Reports;United States;Northern America
Drugs of Today;Spain;Western Europe
European Physical Journal B;Germany;Western Europe
Gender, Technology and Development;United States;Northern America
GERMS;Romania;Eastern Europe
Hematology, Transfusion and Cell Therapy;Brazil;Latin America
Infants and Young Children;United States;Northern America
Innovative Surgical Sciences;Germany;Western Europe
Interfacial Phenomena and Heat Transfer;United States;Northern America
International Journal of Africa Nursing Sciences;United Kingdom;Western Europe
International Journal of Industrial Engineering and Management;Serbia;Eastern Europe
International Journal of Social Economics;United Kingdom;Western Europe
Journal of the American Academy of Religion;United States;Northern America
Language Problems and Language Planning;Netherlands;Western Europe
Medical History;United Kingdom;Western Europe
Polity;United States;Northern America
Progress in Community Health Partnerships: Research, Education, and Action;United States;Northern America
Russian Entomological Journal;Russian Federation;Eastern Europe
Safety;Switzerland;Western Europe
Strabismus;United Kingdom;Western Europe
Tropical Ecology;India;Asiatic Region
Ultrasonic Imaging;United States;Northern America
African Journal of Range and Forage Science;United Kingdom;Western Europe
Coronary Artery Disease;United States;Northern America
Fetal and Pediatric Pathology;United Kingdom;Western Europe
Journal of Education and Work;United Kingdom;Western Europe
Journal of Immersion and Content-Based Language Education;Netherlands;Western Europe
Journal of Oral Biosciences;Japan;Asiatic Region
Journal of Pediatric Health Care;United States;Northern America
Journal of Robotics and Control (JRC);Indonesia;Asiatic Region
Macromolecular Research;South Korea;Asiatic Region
Mathematical Communications;Croatia;Eastern Europe
Proteome Science;United Kingdom;Western Europe
Quantum Electronics;United Kingdom;Western Europe
Spinal cord series and cases;United Kingdom;Western Europe
Sport, Business and Management: An International Journal;United Kingdom;Western Europe
Ural'skij Istoriceskij Vestnik;Russian Federation;Eastern Europe
Acoustics Australia;Australia;Pacific Region
Allergo Journal International;Germany;Western Europe
Annals of Indian Academy of Neurology;India;Asiatic Region
Assay and Drug Development Technologies;United States;Northern America
CFD Letters;Malaysia;Asiatic Region
Horticulture Journal;Japan;Asiatic Region
Intelligent Buildings International;United Kingdom;Western Europe
Intelligenza Artificiale;Netherlands;Western Europe
International Journal of Speech Technology;Netherlands;Western Europe
Journal of Bodywork and Movement Therapies;United States;Northern America
Journal of Development Effectiveness;United Kingdom;Western Europe
Journal of Global Sport Management;United States;Northern America
Journal of Insect Behavior;United States;Northern America
Journal of Systems Science and Complexity;United States;Northern America
Life Sciences in Space Research;Netherlands;Western Europe
MethodsX;Netherlands;Western Europe
Minerva Endocrinologica;Italy;Western Europe
News of the National Academy of Sciences of the Republic of Kazakhstan, Series of Geology and Technical Sciences;Kazakhstan;Asiatic Region
NORMA;United Kingdom;Western Europe
Nuclear Medicine Communications;United States;Northern America
REVESCO Revista de Estudios Cooperativos;Spain;Western Europe
Timing and Time Perception;Netherlands;Western Europe
Transfusion Clinique et Biologique;France;Western Europe
Wisdom;Armenia;Eastern Europe
Acta Geographica Slovenica;Slovenia;Eastern Europe
Advances in Radio Science;Germany;Western Europe
Asian Economic Papers;United States;Northern America
Asian Journal of Atmospheric Environment;South Korea;Asiatic Region
BJ Psych Advances;United Kingdom;Western Europe
Chemical Research in Chinese Universities;Switzerland;Western Europe
Daedalus;United States;Northern America
Displays;Netherlands;Western Europe
Ecologica Montenegrina;Montenegro;Eastern Europe
Hacquetia;Poland;Eastern Europe
Indonesian Journal of Islam and Muslim Societies;Indonesia;Asiatic Region
International Journal of Educational Psychology;Spain;Western Europe
International Journal of Surgical Oncology;United States;Northern America
International Journal of Technology;Indonesia;Asiatic Region
International Journal of Workplace Health Management;United Kingdom;Western Europe
Journal of International Financial Management and Accounting;United Kingdom;Western Europe
Journal of Physical Education and Sport;Romania;Eastern Europe
Journal of the Asia Pacific Economy;United Kingdom;Western Europe
Journal of Veterinary Science;South Korea;Asiatic Region
Malawi Medical Journal;Malawi;Africa
Mechanics of Time-Dependent Materials;Netherlands;Western Europe
Mediterranean Journal of Clinical Psychology;Italy;Western Europe
Medizinische Genetik;Germany;Western Europe
Molecular and Clinical Oncology;United Kingdom;Western Europe
Novosti Sistematiki Nizshikh Rastenii;Russian Federation;Eastern Europe
Oxford Journal of Archaeology;United Kingdom;Western Europe
Proceedings of the ACM Symposium on Applied Computing;United States;Northern America
SAE International Journal of Fuels and Lubricants;United States;Northern America
Survey Review;United Kingdom;Western Europe
Sustainable Development of Mountain Territories;Russian Federation;Eastern Europe
Worldwide Hospitality and Tourism Themes;United Kingdom;Western Europe
Acta Botanica Hungarica;Hungary;Eastern Europe
Botany;Canada;Northern America
Built Environment;United Kingdom;Western Europe
Bulletin of the New Zealand Society for Earthquake Engineering;New Zealand;Pacific Region
Bulletin of the Peabody Museum of Natural History;United States;Northern America
Canadian Journal of Respiratory Therapy;Canada;Northern America
Cellular Reprogramming;United States;Northern America
Cephalalgia Reports;United Kingdom;Western Europe
Electronic News;United States;Northern America
European Journal of Hospital Pharmacy;Belgium;Western Europe
Foresight;United Kingdom;Western Europe
Geosciences Journal;South Korea;Asiatic Region
IDCases;United Kingdom;Western Europe
IISE Transactions on Healthcare Systems Engineering;United States;Northern America
International Forestry Review;United Kingdom;Western Europe
International Social Security Review;United Kingdom;Western Europe
Intervirology;Switzerland;Western Europe
Iranian Journal of Medical Sciences;Iran;Middle East
Journal of Applied Philosophy;United States;Northern America
Journal of Biblical Literature;United States;Northern America
Journal of Emergency Nursing;United States;Northern America
Journal of Machine Engineering;Poland;Eastern Europe
Journal of Photonics for Energy;United States;Northern America
Journal of Taibah University Medical Sciences;Netherlands;Western Europe
Journal of the History of Medicine and Allied Sciences;United Kingdom;Western Europe
Journal of World Intellectual Property;United Kingdom;Western Europe
Przeglad Menopauzalny;Poland;Eastern Europe
Scalable Computing;Romania;Eastern Europe
Science and Technology of Materials;Spain;Western Europe
Studies in the Education of Adults;United Kingdom;Western Europe
Western Pacific surveillance and response journal : WPSAR;Philippines;Asiatic Region
Zhongguo Tiedao Kexue/China Railway Science;China;Asiatic Region
Acta Clinica Belgica;United Kingdom;Western Europe
Communications in Information Literacy;United States;Northern America
European Journal of Physics;United Kingdom;Western Europe
Fudan Journal of the Humanities and Social Sciences;Germany;Western Europe
Indian Geotechnical Journal;India;Asiatic Region
Isotopes in Environmental and Health Studies;United Kingdom;Western Europe
Journal of Animal and Feed Sciences;Poland;Eastern Europe
Journal of Applied and Industrial Mathematics;United States;Northern America
Journal of Environmental Assessment Policy and Management;Singapore;Asiatic Region
Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes;United States;Northern America
Journal of Oral and Maxillofacial Pathology;India;Asiatic Region
Journal of Revenue and Pricing Management;United Kingdom;Western Europe
Journal of Singularities;United States;Northern America
Journal of the Indian Institute of Science;India;Asiatic Region
Luminescence;United Kingdom;Western Europe
Natural Gas Industry B;Netherlands;Western Europe
Obstetric Medicine;United Kingdom;Western Europe
Oman Medical Journal;Oman;Middle East
Schizophrenia Research and Treatment;Egypt;Africa/Middle East
Shima;Australia;Pacific Region
Spanish Journal of Psychology;United Kingdom;Western Europe
African Journal of Laboratory Medicine;South Africa;Africa
Australian and New Zealand Journal of Statistics;United Kingdom;Western Europe
Chungara;Chile;Latin America
Critical Philosophy of Race;United States;Northern America
Engineering in Agriculture, Environment and Food;Japan;Asiatic Region
Geotectonics;United States;Northern America
International Journal of Aeronautical and Space Sciences;South Korea;Asiatic Region
International Journal of Ventilation;United Kingdom;Western Europe
Journal of Biomedical Photonics and Engineering;Russian Federation;Eastern Europe
Journal of Oral Science;Japan;Asiatic Region
Journal of Universal Computer Science;Austria;Western Europe
Marriage and Family Review;United States;Northern America
Molecular Simulation;United Kingdom;Western Europe
Neutrosophic Sets and Systems;United States;Northern America
Nursing Clinics of North America;United Kingdom;Western Europe
Revista Iberoamericana de Psicologia y Salud;Spain;Western Europe
Statistics Education Research Journal;New Zealand;Pacific Region
Teaching Mathematics and its Applications;United Kingdom;Western Europe
UPB Scientific Bulletin, Series A: Applied Mathematics and Physics;Romania;Eastern Europe
Zeitschrift fur Sprachwissenschaft;Germany;Western Europe
Advances in Skin and Wound Care;United States;Northern America
Architecture, City and Environment;Spain;Western Europe
Bioelectricity;United States;Northern America
Bulletin of Symbolic Logic;United Kingdom;Western Europe
Comptes Rendus - Biologies;France;Western Europe
Computability;Netherlands;Western Europe
Computation;Switzerland;Western Europe
Dialectica;United States;Northern America
Folia Geobotanica;Netherlands;Western Europe
Health Education Journal;United Kingdom;Western Europe
International Journal of Foundations of Computer Science;Singapore;Asiatic Region
International Journal on Artificial Intelligence Tools;Singapore;Asiatic Region
Iranian Polymer Journal (English Edition);Switzerland;Western Europe
Journal of Irrigation and Drainage Engineering - ASCE;United States;Northern America
Journal of Nematology;United States;Northern America
Journal of Plant Diseases and Protection;Germany;Western Europe
Journal of Southeast Asian Studies;United Kingdom;Western Europe
Journal of Women and Aging;United States;Northern America
Modern Physics Letters A;Singapore;Asiatic Region
Revista Mediterranea de Comunicacion;Spain;Western Europe
Seed Science Research;United Kingdom;Western Europe
Small-scale Forestry;Netherlands;Western Europe
Synchrotron Radiation News;United Kingdom;Western Europe
Trees, Forests and People;Netherlands;Western Europe
Ukrainian Mathematical Journal;United States;Northern America
World Academy of Sciences Journal;Greece;Western Europe
Acta Cardiologica Sinica;Taiwan;Asiatic Region
Advances in Applied Mathematics and Mechanics;United Kingdom;Western Europe
Archives Animal Breeding;Germany;Western Europe
Australian Journal of Forensic Sciences;United Kingdom;Western Europe
IET Nanobiotechnology;United Kingdom;Western Europe
International Journal of Applied Ceramic Technology;United States;Northern America
International Journal of Mechanical Engineering Education;United Kingdom;Western Europe
Journal of Peptide Science;United Kingdom;Western Europe
Lipids;Germany;Western Europe
Microwave and Optical Technology Letters;United States;Northern America
Nature and Culture;United States;Northern America
Scientific Visualization;Russian Federation;Eastern Europe
Soccer and Society;United Kingdom;Western Europe
Acta Cardiologica;Belgium;Western Europe
Archives of Environmental and Occupational Health;United States;Northern America
Australian Journal of Rural Health;United Kingdom;Western Europe
Biosemiotics;Netherlands;Western Europe
Canadian Journal of Animal Science;Canada;Northern America
Celebrity Studies;United Kingdom;Western Europe
Community Dental Health;United Kingdom;Western Europe
Ecoscience;United Kingdom;Western Europe
International Journal of Energetic Materials and Chemical Propulsion;United States;Northern America
Journal of Financial Research;United Kingdom;Western Europe
Journal of Forensic Nursing;United States;Northern America
Journal of Wine Research;United Kingdom;Western Europe
Mineral Deposits;China;Asiatic Region
Topology and its Applications;Netherlands;Western Europe
Analysis and Metaphysics;United States;Northern America
Annals of palliative medicine;China;Asiatic Region
Archaeology in Oceania;United States;Northern America
Asian Development Review;United States;Northern America
BioResources;United States;Northern America
Canadian Journal of Experimental Psychology;United States;Northern America
Central Bank Review;Netherlands;Western Europe
Coloration Technology;United States;Northern America
Dynamical Systems;United Kingdom;Western Europe
Geoscientific Instrumentation, Methods and Data Systems;Germany;Western Europe
Gynecologic Oncology Reports;Netherlands;Western Europe
Information and Communications Technology Law;United Kingdom;Western Europe
International Journal of Advances in Intelligent Informatics;Indonesia;Asiatic Region
IWMI Research Report;Sri Lanka;Asiatic Region
Journal of East Asian Studies;United Kingdom;Western Europe
Journal of Intelligent and Fuzzy Systems;Netherlands;Western Europe
Journal of Nonlinear Mathematical Physics;United Kingdom;Western Europe
Journal of Perinatal and Neonatal Nursing;United States;Northern America
Journal of Social Studies Education Research;Turkey;Middle East
Journal of the American Society for Horticultural Science;United States;Northern America
Literacy Research and Instruction;United Kingdom;Western Europe
Nordic Journal of Working Life Studies;Denmark;Western Europe
Paleontological Journal;United States;Northern America
Polar Journal;United Kingdom;Western Europe
Reviews on Recent Clinical Trials;United Arab Emirates;Middle East
Revista Espanola de Documentacion Cientifica;Spain;Western Europe
Romanian Journal of Internal Medicine;Romania;Eastern Europe
Twentieth Century British History;United States;Northern America
Wind Engineering;United Kingdom;Western Europe
Acta Histochemica et Cytochemica;Japan;Asiatic Region
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering;United States;Northern America
Avian Biology Research;United Kingdom;Western Europe
Biomedical and Environmental Sciences;United Kingdom;Western Europe
Chinese Journal of Comparative Law;United Kingdom;Western Europe
Cogent Engineering;United Kingdom;Western Europe
Doklady Mathematics;United States;Northern America
Feddes Repertorium;United States;Northern America
Fundamenta Informaticae;Netherlands;Western Europe
Human Nutrition and Metabolism;Netherlands;Western Europe
Industrial Law Journal;United Kingdom;Western Europe
Infectious Disease Reports;Switzerland;Western Europe
Innovation and Development;United Kingdom;Western Europe
International Journal of Web Based Communities;United Kingdom;Western Europe
Israel Medical Association Journal;Israel;Middle East
Journal of Cardiac Surgery;United Kingdom;Western Europe
Journal of Crop Improvement;United States;Northern America
Journal of Facade Design and Engineering;Netherlands;Western Europe
Journal of medicine and life;Romania;Eastern Europe
Journal of Nonlinear and Convex Analysis;Japan;Asiatic Region
Malaysian Journal of Pathology;Malaysia;Asiatic Region
Pharmacogenetics and Genomics;United States;Northern America
Research in Agricultural Engineering;Czech Republic;Eastern Europe
Revista Caatinga;Brazil;Latin America
Revista espanola de cardiologia (English ed.);Spain;Western Europe
South African Journal of Psychiatry;South Africa;Africa
Supramolecular Chemistry;United Kingdom;Western Europe
Synthesis Lectures on Human Language Technologies;United States;Northern America
Transportation Journal;United States;Northern America
Vascular;United Kingdom;Western Europe
Zeitschrift fur Vergleichende Politikwissenschaft;Germany;Western Europe
Acta Polymerica Sinica;China;Asiatic Region
Advances in Pediatrics;United States;Northern America
Agricultural and Environmental Letters;United States;Northern America
Computers in Entertainment;United States;Northern America
Contemporary Social Science;United Kingdom;Western Europe
Current Dermatology Reports;United States;Northern America
Current Medical Mycology;Iran;Middle East
European Journal of Horticultural Science;Germany;Western Europe
Geographica Pannonica;Serbia;Eastern Europe
Historia y Comunicacion Social;Spain;Western Europe
Journal of Asia-Pacific Entomology;Netherlands;Western Europe
Journal of Contemporary East Asia Studies;United Kingdom;Western Europe
Journal of Manual and Manipulative Therapy;United Kingdom;Western Europe
Journal of Renewable Materials;United States;Northern America
Kragujevac Journal of Mathematics;Serbia;Eastern Europe
Physics and Chemistry of Liquids;United Kingdom;Western Europe
Proceedings - IEEE Computer Society's International Computer Software and Applications Conference;United States;Northern America
Social Behavior and Personality;New Zealand;Pacific Region
Surface Innovations;United Kingdom;Western Europe
Australian Journal of Political Science;United Kingdom;Western Europe
British Journal for the History of Science;United Kingdom;Western Europe
Bulletin of the Iranian Mathematical Society;Iran;Middle East
Canadian Journal of Science, Mathematics and Technology Education;United States;Northern America
Climate Law;Netherlands;Western Europe
Colombia Medica;Colombia;Latin America
Comparative Economic Studies;United Kingdom;Western Europe
International Journal of Evidence and Proof;United Kingdom;Western Europe
Journal of Aging and Environment;United Kingdom;Western Europe
Journal of Electromagnetic Waves and Applications;United Kingdom;Western Europe
Journal of Electronic Materials;United States;Northern America
Journal of Ethology;Japan;Asiatic Region
Journal of Pediatric Hematology/Oncology;United States;Northern America
Journal of Radars;China;Asiatic Region
Journal of the Operations Research Society of China;United States;Northern America
Pastoral Care in Education;United States;Northern America
Proceedings - IEEE Military Communications Conference;United States;Northern America
Studies in Nonlinear Dynamics and Econometrics;Germany;Western Europe
Visual Communication;United Kingdom;Western Europe
Zidonghua Xuebao/Acta Automatica Sinica;China;Asiatic Region
Annales de Paleontologie;France;Western Europe
Bulletin of Geography;Poland;Eastern Europe
Child Language Teaching and Therapy;United Kingdom;Western Europe
Complex Manifolds;Poland;Eastern Europe
Cybernetics and Systems Analysis;United States;Northern America
Cyber-Physical Systems;United Kingdom;Western Europe
Experimental Techniques;Switzerland;Western Europe
Families, Systems and Health;United States;Northern America
Global Media and China;United Kingdom;Western Europe
Journal of Adhesion Science and Technology;United Kingdom;Western Europe
Journal of Maritime Archaeology;United States;Northern America
Journal of Sustainable Forestry;United Kingdom;Western Europe
Journal of Thermophysics and Heat Transfer;United States;Northern America
Pacific Conservation Biology;Australia;Pacific Region
Plant Ecology and Evolution;Belgium;Western Europe
Psychodynamic Psychiatry;United States;Northern America
Public Culture;United States;Northern America
Rendiconti Lincei;Italy;Western Europe
Smart and Sustainable Manufacturing Systems;United States;Northern America
Southern California Law Review;United States;Northern America
Thermal Engineering (English translation of Teploenergetika);United States;Northern America
Tourism;Croatia;Eastern Europe
Turkish Journal of Earth Sciences;Turkey;Middle East
Vibrational Spectroscopy;Netherlands;Western Europe
Water and Environment Journal;United States;Northern America
Yale journal on regulation;United States;Northern America
Zeitschrift fur Gesundheitswissenschaften;Germany;Western Europe
Animal Migration;Germany;Western Europe
Australasian Plant Pathology;Netherlands;Western Europe
Current Protocols in Essential Laboratory Techniques;Germany;Western Europe
International Journal of Business Information Systems;United Kingdom;Western Europe
International Journal of Computers and Applications;United Kingdom;Western Europe
International Journal of Foresight and Innovation Policy;United Kingdom;Western Europe
International Journal of Game Theory;Germany;Western Europe
International Journal of Occupational Medicine and Environmental Health;Poland;Eastern Europe
Invasive Plant Science and Management;United States;Northern America
Journal of Building Pathology and Rehabilitation;Germany;Western Europe
Journal of Multicultural Discourses;United Kingdom;Western Europe
Journal of Primary Health Care;Australia;Pacific Region
Organizacija;Slovenia;Eastern Europe
Politics, Philosophy and Economics;United States;Northern America
Preparative Biochemistry and Biotechnology;United States;Northern America
Qualitative Report;United States;Northern America
Research in Economics;United States;Northern America
Rubber Chemistry and Technology;United States;Northern America
South African journal of communication disorders. Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings, The;South Africa;Africa
Theoretical Chemistry Accounts;United States;Northern America
Acta Polytechnica Hungarica;Hungary;Eastern Europe
Chinese Economy;United States;Northern America
Clinical Pediatrics;United States;Northern America
Critical Pathways in Cardiology;United States;Northern America
Endocrine Regulations;Germany;Western Europe
Erdkunde;Germany;Western Europe
European Journal of Psychiatry;Spain;Western Europe
Future Neurology;United Kingdom;Western Europe
Indian Journal of Clinical Biochemistry;India;Asiatic Region
