Title;Categories
Frontiers of Earth Science;Earth and Planetary Sciences (miscellaneous) (Q2)
Global Energy Interconnection;"Automotive Engineering (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q3)"
High Pressure Research;Condensed Matter Physics (Q2)
International Journal of Early Years Education;"Education (Q2); Developmental and Educational Psychology (Q3)"
Israel Journal of Health Policy Research;"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q3)"
Journal of Family Social Work;"Development (Q2); Sociology and Political Science (Q2); Social Work (Q3)"
Journal of Field Ornithology;"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
Journal of Marine Science and Application;"Mechanical Engineering (Q2); Ocean Engineering (Q2)"
Journal of Phytopathology;"Agronomy and Crop Science (Q2); Plant Science (Q2); Genetics (Q3); Physiology (Q3)"
Teacher Development;Education (Q2)
Theory and Decision;"Economics, Econometrics and Finance (miscellaneous) (Q1); Arts and Humanities (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Computer Science Applications (Q3); Developmental and Educational Psychology (Q3)"
VirusDisease;"Infectious Diseases (Q3); Virology (Q4)"
Arid Land Research and Management;Soil Science (Q2)
Asian Geographer;Geography, Planning and Development (Q2)
Australian Journal of Grape and Wine Research;Horticulture (Q1)
BMS Bulletin of Sociological Methodology/ Bulletin de Methodologie Sociologique;Sociology and Political Science (Q2)
Clinical and Experimental Dermatology;Dermatology (Q2)
Clinics in Laboratory Medicine;"Biochemistry (medical) (Q3); Clinical Biochemistry (Q3)"
Current Therapeutic Research;"Pharmacology (Q3); Pharmacology (medical) (Q3)"
Drug Discovery Today: Disease Models;"Drug Discovery (Q3); Molecular Medicine (Q3)"
Frontiers in ICT;"Computer Networks and Communications (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Hardware and Architecture (Q3); Software (Q3)"
Holzforschung;Biomaterials (Q3)
Hormone Molecular Biology and Clinical Investigation;"Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3); Medicine (miscellaneous) (Q3); Molecular Biology (Q4)"
International braz j urol : official journal of the Brazilian Society of Urology;"Urology (Q2); Medicine (miscellaneous) (Q3)"
International Journal of Toxicology;Toxicology (Q3)
Law and Social Inquiry;"Law (Q1); Social Sciences (miscellaneous) (Q2)"
Neurodegenerative Disease Management;"Medicine (miscellaneous) (Q3); Neurology (clinical) (Q3)"
NeuroSignals;"Neurology (Q3); Cellular and Molecular Neuroscience (Q4); Developmental Neuroscience (Q4)"
Nursing Philosophy;"Research and Theory (Q1); Issues, Ethics and Legal Aspects (Q2); Medicine (miscellaneous) (Q3)"
Qualitative Research Journal;"Education (Q2); Social Sciences (miscellaneous) (Q2)"
Reference Librarian;Library and Information Sciences (Q2)
Zeitschrift fur Soziologie;Sociology and Political Science (Q2)
Advances in Neonatal Care;"Pediatrics, Perinatology and Child Health (Q2); Medicine (miscellaneous) (Q3)"
Anemia;"Hematology (Q3); Cell Biology (Q4)"
Annales Zoologici;Ecology, Evolution, Behavior and Systematics (Q2)
Annals of Thoracic Medicine;"Surgery (Q2); Cardiology and Cardiovascular Medicine (Q3); Pulmonary and Respiratory Medicine (Q3)"
Australian Journal of Earth Sciences;Earth and Planetary Sciences (miscellaneous) (Q2)
Canadian Journal of Neurological Sciences;"Medicine (miscellaneous) (Q3); Neurology (Q3); Neurology (clinical) (Q3)"
Cardiovascular Revascularization Medicine;"Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3)"
Clinical obesity;Endocrinology, Diabetes and Metabolism (Q3)
Frattura ed Integrita Strutturale;"Civil and Structural Engineering (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
Glass Structures and Engineering;"Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2)"
International Journal of Biomathematics;"Applied Mathematics (Q2); Modeling and Simulation (Q2)"
International Journal on Interactive Design and Manufacturing;"Industrial and Manufacturing Engineering (Q2); Modeling and Simulation (Q2)"
Journal of Global Operations and Strategic Sourcing;"Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
Journal of Health Care for the Poor and Underserved;Public Health, Environmental and Occupational Health (Q3)
Journal of Public Health Dentistry;"Dentistry (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q3)"
Norsk Geografisk Tidsskrift;"Earth and Planetary Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q2)"
Particuology;"Chemical Engineering (miscellaneous) (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2)"
Plant Biosystems;"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
Techniques in Vascular and Interventional Radiology;"Cardiology and Cardiovascular Medicine (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
Advances in Applied Clifford Algebras;Applied Mathematics (Q2)
Asia-Pacific Journal of Public Health;"Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)"
Clinical Linguistics and Phonetics;"Linguistics and Language (Q1); Speech and Hearing (Q2); Medicine (miscellaneous) (Q3)"
College and Undergraduate Libraries;"Education (Q2); Library and Information Sciences (Q2); E-learning (Q3)"
Ecological Management and Restoration;"Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
Emerging Adulthood;"Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3); Life-span and Life-course Studies (Q3)"
Eurasip Journal on Audio, Speech, and Music Processing;"Acoustics and Ultrasonics (Q2); Electrical and Electronic Engineering (Q2)"
Fibonacci Quarterly;Algebra and Number Theory (Q3)
Food and Drug Law Journal;"Law (Q1); Medicine (miscellaneous) (Q3); Pharmacology (Q3); Public Health, Environmental and Occupational Health (Q3)"
GENEVA Risk and Insurance Review;"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)"
Georgetown Law Journal;Law (Q1)
Innovation: The European Journal of Social Science Research;"Cultural Studies (Q1); Geography, Planning and Development (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)"
International Journal of Quality and Service Sciences;Business, Management and Accounting (miscellaneous) (Q2)
Journal of Business Economics and Management;"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2)"
Journal of Clinical Orthopaedics and Trauma;Orthopedics and Sports Medicine (Q3)
Journal of Contemporary Brachytherapy;"Oncology (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
Journal of Membrane Biology;"Biophysics (Q3); Physiology (Q3); Cell Biology (Q4)"
Journal of Sensory Studies;"Food Science (Q2); Sensory Systems (Q3)"
Journal of the Institute of Brewing;Food Science (Q2)
Lecture Notes in Energy;Energy (miscellaneous) (Q2)
Petroleum Research;"Energy Engineering and Power Technology (Q2); Geology (Q2); Geochemistry and Petrology (Q3)"
Polymer Engineering and Science;"Chemistry (miscellaneous) (Q2); Materials Chemistry (Q2); Polymers and Plastics (Q2)"
Powder Metallurgy;"Ceramics and Composites (Q2); Condensed Matter Physics (Q2); Materials Chemistry (Q2); Mechanics of Materials (Q2); Metals and Alloys (Q2)"
Acta Botanica Brasilica;Plant Science (Q2)
Analysis Mathematica;"Mathematics (miscellaneous) (Q2); Analysis (Q3)"
Annales de la Societe Entomologique de France;"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)"
Assessment for Effective Intervention;"Education (Q2); Health Professions (miscellaneous) (Q2); Developmental and Educational Psychology (Q3)"
CoDesign;"Architecture (Q1); Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q2)"
Comptes Rendus - Geoscience;"Earth and Planetary Sciences (miscellaneous) (Q2); Global and Planetary Change (Q3)"
ETRI Journal;"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)"
Folia Phoniatrica et Logopaedica;"Linguistics and Language (Q1); LPN and LVN (Q2); Speech and Hearing (Q2)"
International Journal for the Advancement of Counselling;"Education (Q2); Psychology (miscellaneous) (Q2); Applied Psychology (Q3)"
Journal of Electrostatics;"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Surfaces, Coatings and Films (Q2); Biotechnology (Q3)"
Journal of Information Systems Education;"Education (Q2); Engineering (miscellaneous) (Q2); E-learning (Q3)"
Paediatrics and Child Health;Pediatrics, Perinatology and Child Health (Q2)
Plasmonics;"Biochemistry (Q3); Biophysics (Q3); Biotechnology (Q3); Nanoscience and Nanotechnology (Q3)"
Proceedings of the Institution of Civil Engineers: Geotechnical Engineering;"Earth and Planetary Sciences (miscellaneous) (Q2); Geotechnical Engineering and Engineering Geology (Q2)"
RELIEVE - Revista Electronica de Investigacion y Evaluacion Educativa;Education (Q2)
Review of Political Economy;"Political Science and International Relations (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2)"
Space Policy;"Economics and Econometrics (Q2); Sociology and Political Science (Q2); Space and Planetary Science (Q3)"
Tribology - Materials, Surfaces and Interfaces;"Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2)"
Veterinary Immunology and Immunopathology;"Veterinary (miscellaneous) (Q2); Immunology (Q4)"
Advances in Medical Education and Practice;Education (Q2)
American Journal of Enology and Viticulture;"Horticulture (Q1); Food Science (Q2)"
American Journal of Health-System Pharmacy;"Pharmacy (Q1); Health Policy (Q2); Medicine (miscellaneous) (Q3); Pharmacology (Q3)"
Chiropractic and Manual Therapies;"Chiropractics (Q1); Complementary and Alternative Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q2)"
Entomologica Americana;Insect Science (Q2)
Environmental Humanities;"Anthropology (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
European Review of Latin American and Caribbean Studies;"History (Q1); Sociology and Political Science (Q2)"
Grazer Philosophische Studien;Philosophy (Q1)
International Aquatic Research;Aquatic Science (Q2)
International Journal of Art Therapy: Inscape;"Clinical Psychology (Q2); Rehabilitation (Q2)"
International Journal of Music Education;"Music (Q1); Education (Q2)"
Issues in Accounting Education;"Accounting (Q2); Education (Q2)"
Journal de Mycologie Medicale;Infectious Diseases (Q3)
Journal of Applied Economics;Economics, Econometrics and Finance (miscellaneous) (Q2)
Journal of Clinical and Aesthetic Dermatology;Dermatology (Q2)
Journal of Geometry;Geometry and Topology (Q3)
Journal of Legal Studies;Law (Q1)
Journal of Obstetrics and Gynaecology Canada;Obstetrics and Gynecology (Q2)
Nota Lepidopterologica;"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)"
Politica Criminal;"Law (Q1); Sociology and Political Science (Q2)"
Proceedings of the Institution of Civil Engineers: Ground Improvement;"Building and Construction (Q2); Geotechnical Engineering and Engineering Geology (Q2); Mechanics of Materials (Q2); Soil Science (Q2)"
Public Integrity;"Law (Q1); Philosophy (Q1); Business and International Management (Q2); Public Administration (Q2); Sociology and Political Science (Q2)"
Regional Science Policy and Practice;"Development (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
Transactions of Tianjin University;Multidisciplinary (Q1)
Coatings;"Materials Chemistry (Q2); Surfaces and Interfaces (Q2); Surfaces, Coatings and Films (Q2)"
Dynamics of Atmospheres and Oceans;"Computers in Earth Sciences (Q2); Geology (Q2); Atmospheric Science (Q3); Oceanography (Q3)"
Family Medicine;Family Practice (Q2)
Forensic Science, Medicine, and Pathology;"Pathology and Forensic Medicine (Q2); Medicine (miscellaneous) (Q3)"
Fundamenta Mathematicae;Algebra and Number Theory (Q3)
International Journal of High Performance Computing Applications;"Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)"
Journal of Biomaterials Applications;"Biomaterials (Q3); Biomedical Engineering (Q3)"
Journal of Employment Counseling;"Organizational Behavior and Human Resource Management (Q2); Psychology (miscellaneous) (Q2); Applied Psychology (Q3)"
Manufacturing Review;Industrial and Manufacturing Engineering (Q2)
Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability;Safety, Risk, Reliability and Quality (Q2)
Proceedings of the International Symposium on Physical Design;Electrical and Electronic Engineering
Qualitative Research in Accounting and Management;"Accounting (Q2); Business and International Management (Q2)"
She Ji;"Economics, Econometrics and Finance (miscellaneous) (Q2); Education (Q2); Management of Technology and Innovation (Q2)"
Siberian Advances in Mathematics;Mathematics (miscellaneous) (Q2)
Stem Cell Research;"Medicine (miscellaneous) (Q3); Cell Biology (Q4); Developmental Biology (Q4)"
Transactions of the Indian Ceramic Society;Ceramics and Composites (Q2)
Vulnerable Children and Youth Studies;"Health (social science) (Q2); Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)"
Zoosystematica Rossica;"Animal Science and Zoology (Q2); Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)"
Australian Mammalogy;"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
CIN - Computers Informatics Nursing;"Nursing (miscellaneous) (Q2); Health Informatics (Q3); Medicine (miscellaneous) (Q3)"
Clinical and Experimental Hypertension;"Internal Medicine (Q3); Medicine (miscellaneous) (Q3); Physiology (Q3)"
Computational Biology and Chemistry;"Organic Chemistry (Q2); Biochemistry (Q3); Computational Mathematics (Q3); Structural Biology (Q4)"
Functions of Language;Linguistics and Language (Q1)
Gene: X;Genetics (Q3)
Geo Journal;Geography, Planning and Development (Q2)
International Journal of Stem Cells;"Cell Biology (Q4); Developmental Biology (Q4)"
International Studies of Management and Organization;"Business and International Management (Q2); Strategy and Management (Q2)"
Journal of Business-to-Business Marketing;"Management Information Systems (Q2); Marketing (Q3)"
Journal of Exercise Rehabilitation;"Physical Therapy, Sports Therapy and Rehabilitation (Q2); Orthopedics and Sports Medicine (Q3)"
Journal of Helminthology;"Animal Science and Zoology (Q2); Medicine (miscellaneous) (Q3); Parasitology (Q3)"
Journal of Huntington's disease;"Neurology (clinical) (Q3); Cellular and Molecular Neuroscience (Q4)"
Journal of Therapeutic Ultrasound;Radiology, Nuclear Medicine and Imaging (Q3)
Mathematical Social Sciences;"Psychology (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Statistics, Probability and Uncertainty (Q3)"
Pramana - Journal of Physics;Physics and Astronomy (miscellaneous) (Q2)
Rock Art Research;"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Visual Arts and Performing Arts (Q1)"
Sequential Analysis;"Modeling and Simulation (Q2); Statistics and Probability (Q3)"
SOCAR Proceedings;"Applied Mathematics (Q2); Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Geology (Q2); Geophysics (Q2); Geotechnical Engineering and Engineering Geology (Q2); Fuel Technology (Q3)"
Statistica Neerlandica;"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
Wireless Personal Communications;"Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)"
Acta Histochemica;"Histology (Q3); Medicine (miscellaneous) (Q3); Cell Biology (Q4)"
Avian Diseases;"Animal Science and Zoology (Q2); Food Animals (Q2); Immunology and Microbiology (miscellaneous)  (Q3)"
Behavioral Interventions;"Arts and Humanities (miscellaneous) (Q2); Clinical Psychology (Q2); Developmental and Educational Psychology (Q3); Psychiatry and Mental Health (Q3)"
Computing in Science and Engineering;"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)"
Evergreen;"Ceramics and Composites (Q2); Electronic, Optical and Magnetic Materials (Q2); Management, Monitoring, Policy and Law (Q2); Surfaces, Coatings and Films (Q2)"
Global Journal of Engineering Education;"Computer Science (miscellaneous) (Q2); Education (Q2)"
International Journal of Innovation Management;"Business and International Management (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)"
International Journal of Intelligent Robotics and Applications;"Artificial Intelligence (Q3); Computer Science Applications (Q3)"
International Journal of Polymer Science;Polymers and Plastics (Q2)
Journal of Emergency Medicine;Emergency Medicine (Q2)
Journal of Enterprising Communities;"Business and International Management (Q2); Economics and Econometrics (Q2); Strategy and Management (Q2)"
Journal of Molecular Structure;"Analytical Chemistry (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Spectroscopy (Q2)"
Journal of Natural Fibers;Materials Science (miscellaneous) (Q2)
Journal of Official Statistics;Statistics and Probability (Q3)
Journal of Orthodontics;"Orthodontics (Q2); Medicine (miscellaneous) (Q3)"
Microfluidics and Nanofluidics;"Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2); Nanoscience and Nanotechnology (Q3)"
Multisensory Research;"Ophthalmology (Q2); Cognitive Neuroscience (Q3); Computer Vision and Pattern Recognition (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)"
Photogrammetric Engineering and Remote Sensing;Computers in Earth Sciences (Q2)
Proceedings - International Conference on Pattern Recognition;Computer Vision and Pattern Recognition
Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering;"Control and Systems Engineering (Q2); Mechanical Engineering (Q2)"
Revista Iberoamericana de Tecnologias del Aprendizaje;"Education (Q2); Engineering (miscellaneous) (Q2); E-learning (Q3)"
South Asian Journal of Business Studies;"Cultural Studies (Q1); Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Strategy and Management (Q2); Marketing (Q3)"
Thoracic Surgery Clinics;"Surgery (Q2); Medicine (miscellaneous) (Q3); Pulmonary and Respiratory Medicine (Q3)"
African Journal of Ecology;Ecology, Evolution, Behavior and Systematics (Q2)
Archives of Plastic Surgery;Surgery (Q2)
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering;"Building and Construction (Q2); Civil and Structural Engineering (Q2); Safety, Risk, Reliability and Quality (Q2)"
Asia Pacific Family Medicine;"Family Practice (Q2); Public Health, Environmental and Occupational Health (Q3)"
Clinical and Experimental Reproductive Medicine;Reproductive Medicine (Q3)
Danish Medical Journal;Medicine (miscellaneous) (Q3)
Democratic Theory;"Philosophy (Q1); Sociology and Political Science (Q2)"
English Language and Linguistics;Linguistics and Language (Q1)
Frontiers in Bioscience - Elite;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q3); Medicine (miscellaneous) (Q3)"
Gender and Development;"Development (Q2); Gender Studies (Q2); Geography, Planning and Development (Q2)"
Geophysical and Astrophysical Fluid Dynamics;"Computational Mechanics (Q2); Geophysics (Q2); Mechanics of Materials (Q2); Astronomy and Astrophysics (Q3); Geochemistry and Petrology (Q3)"
Health Promotion Journal of Australia;"Community and Home Care (Q2); Public Health, Environmental and Occupational Health (Q3)"
IEEE Transactions on Plasma Science;"Condensed Matter Physics (Q2); Nuclear and High Energy Physics (Q3)"
Informal Logic;Philosophy (Q1)
International Journal of Mathematical Education in Science and Technology;"Education (Q2); Mathematics (miscellaneous) (Q2); Applied Mathematics (Q3)"
International Journal of Metalcasting;"Industrial and Manufacturing Engineering (Q2); Materials Chemistry (Q2); Mechanics of Materials (Q2); Metals and Alloys (Q2)"
Journal of Agriculture and Food Research;"Agricultural and Biological Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q2); Food Science (Q2)"
Journal of Bronchology and Interventional Pulmonology;"Medicine (miscellaneous) (Q3); Pulmonary and Respiratory Medicine (Q3)"
Journal of Cold Regions Engineering - ASCE;"Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2)"
Journal of Innovations in Cardiac Rhythm Management;"Cardiology and Cardiovascular Medicine (Q3); Physiology (medical) (Q3)"
Journal of International Relations and Development;"Political Science and International Relations (Q1); Development (Q2); Geography, Planning and Development (Q2)"
LIBER Quarterly;Library and Information Sciences (Q2)
Limnetica;"Aquatic Science (Q2); Ecology (Q2); Water Science and Technology (Q2)"
Meditteranean Politics;"Political Science and International Relations (Q1); Geography, Planning and Development (Q2)"
Micropaleontology;Paleontology (Q2)
Onderstepoort Journal of Veterinary Research;"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
Pain Research and Treatment;"Anesthesiology and Pain Medicine (Q2); Neurology (clinical) (Q3)"
Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy;"Energy Engineering and Power Technology (Q2); Mechanical Engineering (Q2)"
South African Journal of Botany;Plant Science (Q2)
Transnational Corporations;"Political Science and International Relations (Q1); Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)"
Veterinary Dermatology;Veterinary (miscellaneous) (Q2)
Acta Myologica;"Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3)"
Biotechnology and Applied Biochemistry;"Applied Microbiology and Biotechnology (Q3); Bioengineering (Q3); Biomedical Engineering (Q3); Biotechnology (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Molecular Medicine (Q3); Process Chemistry and Technology (Q3)"
Current Microbiology;"Applied Microbiology and Biotechnology (Q3); Medicine (miscellaneous) (Q3); Microbiology (Q3)"
Eastern Mediterranean Health Journal;Medicine (miscellaneous) (Q3)
Ecology and Industry of Russia;"Ecology (Q2); Management, Monitoring, Policy and Law (Q2); Pollution (Q3)"
Energy Informatics;"Computer Networks and Communications (Q2); Energy Engineering and Power Technology (Q2); Information Systems (Q2)"
Epidemiologic Methods;"Applied Mathematics (Q3); Epidemiology (Q3)"
International Journal of Nonlinear Sciences and Numerical Simulation;"Computational Mechanics (Q2); Engineering (miscellaneous) (Q2); Mechanics of Materials (Q2); Modeling and Simulation (Q2); Physics and Astronomy (miscellaneous) (Q2); Statistical and Nonlinear Physics (Q2); Applied Mathematics (Q3)"
Journal of Baltic Science Education;Education (Q2)
Journal of B.U.ON.;"Hematology (Q3); Medicine (miscellaneous) (Q3); Oncology (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Cancer Research (Q4)"
Journal of European Real Estate Research;"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
Legume Science;"Food Science (Q2); Plant Science (Q2)"
Nefrologia;Nephrology (Q3)
Ofioliti;Geology (Q2)
Scandinavian Journal of Forest Research;Forestry (Q2)
Sign Language Studies;Linguistics and Language (Q1)
Soil and Sediment Contamination;"Soil Science (Q2); Environmental Chemistry (Q3); Health, Toxicology and Mutagenesis (Q3); Pollution (Q3)"
Surface Science;"Condensed Matter Physics (Q2); Materials Chemistry (Q2); Surfaces and Interfaces (Q2); Surfaces, Coatings and Films (Q2)"
The journal of applied laboratory medicine;Medicine (miscellaneous) (Q3)
Work Organisation, Labour and Globalisation;"Industrial Relations (Q2); Organizational Behavior and Human Resource Management (Q3)"
Administrative Sciences;Business, Management and Accounting (miscellaneous) (Q2)
Animal Welfare;"Animal Science and Zoology (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
Economia Agraria y Recursos Naturales;"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2)"
Economic Change and Restructuring;Economics and Econometrics (Q2)
Economics and Sociology;"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
European Journal of Behavior Analysis;"Education (Q2); Psychology (miscellaneous) (Q2)"
First Monday;"Law (Q1); Computer Networks and Communications (Q2); Human-Computer Interaction (Q3)"
International Conference on Application-Specific Systems, Architectures and Processors, Proceedings;"Computer Networks and Communications; Computer Science (miscellaneous); Hardware and Architecture"
International Journal of Technology Enhanced Learning;"Education (Q2); Computer Science Applications (Q3); E-learning (Q3)"
International Relations of the Asia-Pacific;"Political Science and International Relations (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2)"
Journal of Advances in Information Technology;"Computer Networks and Communications (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3)"
Journal of Fractal Geometry;"Applied Mathematics (Q3); Geometry and Topology (Q3)"
Kennedy Institute of Ethics Journal;"History and Philosophy of Science (Q1); Health Policy (Q2); Health (social science) (Q2); Issues, Ethics and Legal Aspects (Q2); Medicine (miscellaneous) (Q3)"
Linguistics;Linguistics and Language (Q1)
Measurement Science and Technology;"Engineering (miscellaneous) (Q2); Instrumentation (Q2); Applied Mathematics (Q3)"
Mental Lexicon;"Linguistics and Language (Q1); Cognitive Neuroscience (Q3)"
Regional Statistics;"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Statistics and Probability (Q3)"
Spirituality in Clinical Practice;"Complementary and Manual Therapy (Q1); Clinical Psychology (Q2); Complementary and Alternative Medicine (Q2); Psychiatry and Mental Health (Q3)"
Acta Biochimica Polonica;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)
Annals of Leisure Research;"Cultural Studies (Q1); Geography, Planning and Development (Q2); Social Psychology (Q2); Tourism, Leisure and Hospitality Management (Q3)"
Australasian Journal of Engineering Education;"Education (Q2); Engineering (miscellaneous) (Q2); Human-Computer Interaction (Q3)"
Current Urology;"Urology (Q2); Oncology (Q3); Reproductive Medicine (Q3)"
IET Communications;"Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)"
IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India);Electrical and Electronic Engineering (Q2)
International Journal of Agricultural and Biological Engineering;"Agricultural and Biological Sciences (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)"
International Journal of Innovative Computing, Information and Control;"Information Systems (Q2); Computational Theory and Mathematics (Q3); Software (Q3); Theoretical Computer Science (Q3)"
International Journal of Low-Carbon Technologies;"Architecture (Q1); Civil and Structural Engineering (Q2); Environmental Science (miscellaneous) (Q2)"
International Journal of Precision Engineering and Manufacturing;"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2)"
Journal of Applied School Psychology;"Education (Q2); Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Psychiatry and Mental Health (Q3)"
Journal of Diabetes and Metabolic Disorders;"Endocrinology, Diabetes and Metabolism (Q3); Internal Medicine (Q3)"
Journal of International and Comparative Social Policy;"Health (social science) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
Neurochirurgie;"Surgery (Q2); Neurology (clinical) (Q3)"
Nurse Educator;"Fundamentals and Skills (Q1); Review and Exam Preparation (Q1); Education (Q2); LPN and LVN (Q2); Nursing (miscellaneous) (Q2)"
Philosophical Magazine;Condensed Matter Physics (Q2)
Plant Systematics and Evolution;"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
Publius;"Public Administration (Q2); Sociology and Political Science (Q2)"
Women's Studies in Communication;"Communication (Q2); Gender Studies (Q2)"
Young;"Health (social science) (Q2); Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)"
Applied Biochemistry and Biotechnology;"Environmental Engineering (Q2); Applied Microbiology and Biotechnology (Q3); Biochemistry (Q3); Bioengineering (Q3); Biotechnology (Q3); Medicine (miscellaneous) (Q3); Molecular Biology (Q4)"
Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery;"Surgery (Q2); Gastroenterology (Q3); Medicine (miscellaneous) (Q3)"
BMJ Open Quality;"Health Policy (Q2); Leadership and Management (Q2); Public Health, Environmental and Occupational Health (Q3)"
Clinical and Experimental Hepatology;Hepatology (Q3)
