Title;Publisher
Journal of Statistical Distributions and Applications;SpringerOpen
Journal of the History of Economic Thought;Cambridge University Press
Journal of Water and Land Development;Institute for Land Reclamation and Grassland Farming
Open Dentistry Journal;Bentham Science Publishers
Optoelectronics, Instrumentation and Data Processing;Pleiades Publishing
Russian Chemical Bulletin;Springer New York
Semiotica;De Gruyter Mouton
Theoria (Spain);Universidad del Pais Vasco
Zemdirbyste;"Lithuanian Research Centre for Agriculture and Forestry; Vytautas Magnus University"
Accreditation and Quality Assurance;Springer New York
Acta Ornithologica;Polish Academy of Sciences
Acta Zoologica Academiae Scientiarum Hungaricae;Hungarian Natural History Museum
Advances in Mechanics;li xue jin zhan bian ji bu
Anthropologica;Wilfrid Laurier University Press
Ceramics - Silikaty;Institute of Chemical Technology
Current Breast Cancer Reports;Current Science, Inc.
Dizhen Dizhi;State Seismology Administration
Educational Research for Policy and Practice;Springer Netherlands
Egyptian Journal of Aquatic Biology and Fisheries;Egyptian Society for the Development of Fisheries and Human Health
Ekologia Bratislava;De Gruyter Open Ltd.
Endocrinology, Diabetes and Metabolism Case Reports;BioScientifica Ltd.
Estonian Journal of Earth Sciences;Estonian Academy Publishers
Forests Trees and Livelihoods;Taylor and Francis Ltd.
Hand Therapy;SAGE Publications Inc.
Human Rights Review;Transaction Periodicals Consortium
Indian Journal of Biochemistry and Biophysics;National Institute of Science Communication and Information Resources (NISCAIR)
Indonesian Journal of Chemistry;Gadjah Mada University
Journal of Agricultural Science and Technology;Tarbiat Modares University
Journal of Medical Case Reports;BioMed Central Ltd.
Journal of Network Intelligence;Taiwan Ubiquitous Information
Journal of Polymer Engineering;Walter de Gruyter GmbH
Medical Journal Armed Forces India;Elsevier India
Memoirs of Museum Victoria;Museum Victoria
Northwest Science;Washington State University Press
Occupational Therapy in Mental Health;Routledge
PASAA;Chulalongkorn University Language Institute
Review of Economic Design;Springer Verlag
Ribarstvo, Croatian Journal of Fisheries;University of Zagreb
Transformation;SAGE Publications Ltd
Acta Mathematica Universitatis Comenianae;Univerzita Komenskeho
Bulletin of the British Ornithologists' Club;British Ornithologists' Club
Canadian Journal of Dietetic Practice and Research;Dietitians of Canada
Children's Health Care;Routledge
Communication Today;University of SS. Cyril and Methodius, Faculty of Mass Media Communication
Contemporary Readings in Law and Social Justice;Addleton Academic Publishers
Current Drug Research Reviews;Bentham Science Publishers B.V.
DESIDOC Journal of Library and Information Technology;"Defence Scientific Information &amp; Documentation Centre (DESIDOC)"
Estudios Atacamenos;Universidad Catolica del Norte
Folia Biologica;Charles University
Hematology Reports;PagePress Publications
ICSID Review;Oxford University Press
IDS Bulletin;Institute of Development Studies
Inland Water Biology;Pleiades Publishing
International Journal of High-Rise Buildings;Korea Distribution Science Association (KODISA)
International Journal of Standardization Research;IGI Global Publishing
Iraqi Journal of Agricultural Sciences;University of Baghdad, College of Agriculture
Journal of Bioinformatics and Computational Biology;World Scientific Publishing Co. Pte Ltd
Journal of Carbohydrate Chemistry;Taylor and Francis Ltd.
"Journal of dance medicine &amp; science : official publication of the International Association for Dance Medicine &amp; Science";J.Michael Ryan Publishing Inc.
Journal of Mining and Metallurgy, Section B: Metallurgy;Technical Faculty in Bor
Journal of Optical Communications;Walter de Gruyter GmbH
Journal of Thermal Engineering;Yildiz Technical University
Metal Science and Heat Treatment;Springer New York
Nagoya Journal of Medical Science;Nagoya University, School of Medicine
Network Modeling Analysis in Health Informatics and Bioinformatics;Springer Nature
Optics and Spectroscopy (English translation of Optika i Spektroskopiya);Pleiades Publishing
Pesquisa Veterinaria Brasileira;Colegio Brasileiro de Patologia Animal
Petroleum Science and Technology;Taylor and Francis Ltd.
Polis;Brill Academic Publishers
Population and Societies;Institut National d'Etudes Demographiques
Postepy w Kardiologii Interwencyjnej;Termedia Publishing House Ltd.
SPAL;Seville University Press
Studies in Conflict and Terrorism;Taylor and Francis Ltd.
Transactions of the Charles S Peirce Society;Indiana University Press
US Geological Survey Profesional Paper;U.S. Geological Survey
Advances and Applications in Bioinformatics and Chemistry;Dove Medical Press Ltd.
ANZIAM Journal;Cambridge University Press
Art and Perception;Brill Academic Publishers
Computer-Aided Design and Applications;Taylor and Francis Ltd.
Current Issues in Criminal Justice;Routledge
Documents d' Analisi Geografica;Universitat Autonoma de Barcelona
Ear, Nose and Throat Journal;Medquest Communications LLC
Education for Health: Change in Learning and Practice;Wolters Kluwer Medknow Publications
Engenharia Agricola;Sociedade Brasileira de Engenharia Agricola
Family Practice Management;American Academy of Family Physicians
Historia Ambiental Latinoamericana y Caribena;
History and Theory;Wiley-Blackwell
Inorganic Materials: Applied Research;Pleiades Publishing
International Journal of Automotive and Mechanical Engineering;The Automotive Engineering Centre (AEC), Universiti Malaysia Pahang
International Journal of Conflict and Violence;University of Bielefeld
International Journal of Entrepreneurship and Small Business;Inderscience Enterprises Ltd.
International Review of Public Administration;Taylor and Francis Ltd.
International Wood Products Journal;Maney Publishing
Jisuanji Xuebao/Chinese Journal of Computers;Science Press
Journal of Child Psychotherapy;Routledge
Journal of Electrochemical Science and Engineering;International Association of Physical Chemists
Journal of Information Technology Case and Application Research;Taylor and Francis Ltd.
Magnetic Resonance in Solids;Department of Theoretical Physics, Physics Faculty, Kazan State University
Moroccan Journal of Chemistry;University Mohammed Premier Oujda
Nano;World Scientific Publishing Co. Pte Ltd
Nuclear and Radiation Safety;Odessa National Polytechnic Institute, Nuclear physics and energy
Proceedings of Institution of Civil Engineers: Management, Procurement and Law;ICE Publishing
Professional Case Management;Lippincott Williams and Wilkins Ltd.
Psicologica;Universitat de Valencia
Psychoanalysis, Self and Context;Taylor and Francis Ltd.
Rocky Mountain Geology;University of Wyoming
Vestnik Moskovskogo Unviersiteta, Seriya Geografiya;Moskovskij Universitet
Advances in Science and Technology of Water Resources;shui li shui dian ke ji jin zhan bian ji bu
AIMS Agriculture and Food;AIMS Press
Australian Journal of Mechanical Engineering;Taylor and Francis Ltd.
BMJ Military Health;BMJ Publishing Group
British Journal of Guidance and Counselling;Routledge
Communications in Mathematical Analysis;Mathematical Research Publishers
Communication Teacher;Taylor and Francis Ltd.
Cuadernos de Psicologia del Deporte;University of Murcia
Czech Journal of Food Sciences;Czech Academy of Agricultural Sciences
Dialogic Pedagogy;University Library System, University of Pittsburgh
Educacion Medica;Elsevier Espana
ESP Today;University of Belgrade
History and Philosophy of the Life Sciences;Springer International Publishing AG
Jornal brasileiro de nefrologia : orgao oficial de Sociedades Brasileira e Latino-Americana de Nefrologia;Sociedade Brasileira de Nefrologia
Journal of Indonesian Islam;State Islamic University of Sunan Ampel Surabaya
Journal of Postgraduate Medicine;Wolters Kluwer Medknow Publications
Journal of Statistics Education;Taylor and Francis Ltd.
Malaysian Journal of Learning and Instruction;Universiti Utara Malaysia Press
Mathematical and Computer Modelling of Dynamical Systems;Taylor and Francis Ltd.
Ocean Development and International Law;Taylor and Francis Ltd.
Palabra Clave;Universidad de La Sabana
Physics Open;Elsevier BV
Radiochemistry;Pleiades Publishing
Small Axe;Duke University Press
Transplantation Proceedings;Elsevier USA
Tunisie Medicale;
Visual Communication Quarterly;Routledge
Volumina Jurassica;University of Warsaw, Institute of Geology
Yuhang Xuebao/Journal of Astronautics;China Spaceflight Society
Acta Gastro-Enterologica Belgica;Universa Press
Acta Oeconomica;Akademiai Kiado
Africa Review;Taylor and Francis Ltd.
Anthropology in Action;Berghahn Journals
Asian Journal of Women's Studies;Taylor and Francis Ltd.
Boletim da Sociedade Paranaense de Matematica;Sociedade Brasileira de Matematica
Brazilian Journal of Pharmaceutical Sciences;Faculdade de Ciencias Farmaceuticas (Biblioteca-
Critical Care Nursing Quarterly;Lippincott Williams and Wilkins Ltd.
Cuadernos.info;Facultad de Comunicaciones de la Pontificia Universidad Catolica de Chile
Der Orthopade;Springer Verlag
Duke Law Journal;Duke University School of Law
Economics of Governance;Springer Verlag
Forum Scientiae Oeconomia;WSB University
Indian Chemical Engineer;Taylor and Francis Ltd.
International Journal of Biomedical Engineering and Technology;Inderscience Enterprises Ltd.
International Journal of Dream Research;Central Institute of Mental Health
International Journal of Electronic Commerce Studies;Academy of Taiwan Information Systems Research
International Journal of Kinesiology and Sports Science;Australian International Academic Centre PTY LTD
International Journal of Managerial and Financial Accounting;Inderscience Publishers
International Journal of Swarm Intelligence Research;IGI Global Publishing
Israel Journal of Ecology and Evolution;Brill Academic Publishers
Japanese Journal of Applied Entomology and Zoology;Japanese Society of Applied Entomology and Zoology
Journal of Addictions and Offender Counseling;Wiley-Blackwell
Journal of Economics and Finance;Springer New York
Journal of Empirical Theology;Brill Academic Publishers
Journal of Failure Analysis and Prevention;Springer New York
Journal of Muslim Mental Health;Michigan Publishing
Journal of Nuclear Engineering and Radiation Science;The American Society of Mechanical Engineers(ASME)
Journal of The Institution of Engineers (India): Series E;Springer India
Kant Yearbook;Walter de Gruyter GmbH
Law and Critique;Springer Netherlands
Metal Music Studies;Intellect Ltd.
Network Security;Elsevier BV
NeuroQuantology;
Problemy Analiza;Petrozavodsk State University
Proyecciones;Universidad Catolica del Norte
Revista de Biologia Tropical;Universidad de Costa Rica
Small Wars and Insurgencies;Routledge
Strojniski Vestnik/Journal of Mechanical Engineering;Assoc. of Mechanical Eng. and Technicians of Slovenia
Structural Chemistry;Springer New York
Transfers;Berghahn Books Inc.
University of Toronto Law Journal;University of Toronto Press
Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences;Zhejiang Daxue
Acta Montanistica Slovaca;Technical University of Kosice
Advanced Biomedical Engineering;Japanese Society for Medical and Biological Engineering
African Journal of Research in Mathematics, Science and Technology Education;Taylor and Francis Ltd.
Annals of Pancreatic Cancer;AME Publishing Company
Applied Engineering in Agriculture;American Society of Agricultural and Biological Engineers
Astronomische Nachrichten;Wiley-VCH Verlag
Bulletin du Cancer;John Libbey Eurotext
Cuadernos de Relaciones Laborales;Universidad Complutense Madrid
Elektronika ir Elektrotechnika;Kauno Technologijos Universitetas
Estudios Constitucionales;Universidad de Talca
European Journal of Science and Theology;ACAD Organisation
European Papers- A Journal on Law and Integration;European Paper
Flora Mediterranea;Herbarium Mediterraneum Panormitanum
Global Nest Journal;Global Nest
ICIC Express Letters;ICIC Express Letters Office
Internationale Neerlandistiek;Amsterdam University Press BV
International Indigenous Policy Journal;Western University
International Journal of Advanced Computer Science and Applications;Science and Information Organization
International Journal of Applied Management Science;Inderscience Publishers
International Journal of Cyber Criminology;
International Journal of Politics, Culture and Society;Human Sciences Press
International Journal of Sustainable Development and Planning;International Information and Engineering Technology Association
Izvestiya Vysshikh Uchebnykh Zavedeniy. Prikladnaya Nelineynaya Dinamika;Saratov State University
Journal of Continuing Higher Education;Routledge
Journal of Equine Science;Japanese Society of Equine Science
Journal of Financial Economic Policy;Emerald Group Publishing Ltd.
Journal of Korean Institute of Metals and Materials;Korean Institute of Metals and Materials
Journal of Mechanics;Cambridge University Press
Journal of Money Laundering Control;Emerald Group Publishing Ltd.
Journal of Value Inquiry;Springer Netherlands
Mathematics and Statistics;Horizon Research Publishing
Neurology International;Multidisciplinary Digital Publishing Institute (MDPI)
Opuscula;Swedish Institutes at Athens
Philologica Canariensia;Universidad de Las Palmas de Gran Canaria
Proceedings - SPE Annual Technical Conference and Exhibition;Society of Petroleum Engineers (SPE)
Radiation Effects and Defects in Solids;Taylor and Francis Ltd.
School Library Research;American Association of School Librarians
Solar System Research;Pleiades Publishing
Spanish in Context;John Benjamins Publishing Company
Tropical Natural History;Department of Biology, Faculty of Science, Chulalongkorn University
Word Structure;Edinburgh University Press
Acta Endocrinologica;Acta Endocrinologica Foundation
African Security Review;Taylor and Francis Ltd.
Archives of psychiatry research;University Hospital Center Sestre milosrdnice
British and Irish Orthoptic Journal;
Clean Air Journal;National Association of Clean Air
Conservation Genetics Resources;Springer Verlag
Contemporary Japan;Taylor and Francis Ltd.
Drvna Industrija;
Gynecologie Obstetrique Fertilite et Senologie;Elsevier Masson s.r.l.
International Journal of Psychological Research;Universidad de San Buenaventura
International Journal on Energy Conversion;Praise Worthy Prize S.r.l
International Review on Modelling and Simulations;Praise Worthy Prize S.r.l
Journal of Cyber Security and Mobility;River Publishers
Journal of Mid-Life Health;Wolters Kluwer Medknow Publications
Journal of the Indian Society of Soil Science;Indian Society of Soil Science
Landscape Architecture and Art;Latvia University of Life Sciences and Technologies
Metaphilosophy;Wiley-Blackwell Publishing Ltd
Neuro-Ophthalmology;Taylor and Francis Ltd.
Pan African Medical Journal;
Partecipazione e Conflitto;University of Salento
Physics of the Solid State;Pleiades Publishing
Politikon;Taylor and Francis Ltd.
Review of Derivatives Research;Springer New York
Romanian Journal of Morphology and Embryology;Editura Academiei Romane
Russian Journal of Physical Chemistry B;Pleiades Publishing
Science of Gymnastics Journal;Faculty of Sport, University of Ljubljana
Social History of Medicine;Oxford University Press
Sport Mont;Montenegrin Sports Academy
Structural Integrity and Life;Society for Structural Integrity and Life
Support for Learning;Wiley-Blackwell
Transactions of the Royal Society of South Africa;Taylor and Francis Ltd.
Urology Practice;Lippincott Williams and Wilkins
Acta Otorrinolaringologica Espanola;Ediciones Doyma, S.L.
American Quarterly;Johns Hopkins University Press
Atencion Primaria;Ediciones Doyma, S.L.
Bio-Medical Engineering;Springer New York
Chemistry of Natural Compounds;Springer New York
Environmental Health and Toxicology;Korean Society of Environmental Health and Toxicology
Espacio, Tiempo y Forma, Serie III: Historia Medieval;Universidad Nacional de Educacion a Distancia, UNED
Indian Journal of Animal Research;Agricultural Research Communication Centre
International Finance Review;Emerald Group Publishing Ltd.
International Journal of Computational Economics and Econometrics;Inderscience Publishers
International Journal of Intelligent Engineering and Systems;Intelligent Networks and Systems Society
International Journal of Materials Engineering Innovation;Inderscience Enterprises Ltd.
International Journal of Organ Transplantation Medicine;Avicenna Organ Transplant Institute
International Journal on Food System Dynamics;CENTMA Research
Israel Law Review;Cambridge University Press
Jisuanji Yanjiu yu Fazhan/Computer Research and Development;Science Press
Journal of Adult Protection, The;Emerald Group Publishing Ltd.
Journal of Cuneiform Studies;University of Chicago Press
Journal of Membrane Science and Research;Amirkabir University of Technology - Membrane Processes Research Laboratory
Journal of Mobile Multimedia;River Publishers
Journal of Research of the National Institute of Standards and Technology;National Institute of Standards and Technology
Journal of the Institute of Conservation;Taylor and Francis Ltd.
Open Microbiology Journal;Bentham Science Publishers B.V.
Phase Transitions;Taylor and Francis Ltd.
Polymer Science - Series A;Pleiades Publishing
Proceedings of the National Academy of Sciences India Section B - Biological Sciences;Springer India
Radiophysics and Quantum Electronics;Springer New York
Revista Brasileira de Educacao;Revista Brasileira de Educacao
Revista Iberoamericana de Micologia;Asociacion Espanola de Micologia
Russian Journal of Nondestructive Testing;Pleiades Publishing
Sains Tanah;Sebelas Maret University - Department of Soil Science, Faculty of Agriculture
Terapia Psicologica;Sociedad Chilena de Psicologia Clinica
Acta Agriculturae Scandinavica - Section A: Animal Science;Taylor and Francis AS
Advances in Dual Diagnosis;Emerald Group Publishing Ltd.
Advances in Electrical and Computer Engineering;University of Suceava
Arqueologia;Facultad de Filosofia y Letras, Universidad de Buenos Aires
Baltic Journal of Road and Bridge Engineering;Riga Technical University
Chemistry of Heterocyclic Compounds;Springer New York
Cuadernos Geograficos;University of Granada
Czech Journal of Genetics and Plant Breeding;Czech Academy of Agricultural Sciences
Diagnostyka;Polish Society of Technical Diagnostics
Educacao e Sociedade;Centro de Estudos Educacao e Sociedade - CEDES
Epistemology and Philosophy of Science;RAS Institute of Philosophy
Holistic Nursing Practice;Lippincott Williams and Wilkins Ltd.
International Electronic Journal of Algebra;Hacettepe University
International Journal of Innovation and Sustainable Development;Inderscience Enterprises Ltd
International Journal of Transport Development and Integration;WITPress
International Journal of Turbo and Jet Engines;Walter de Gruyter GmbH
ISVS E-journal;Center for Cities, University of Moratuwa
Journal of Applied Pharmaceutical Science;MediPoeia
Journal of Biological Regulators and Homeostatic Agents;Biolife SAS
Journal of Clinical Ultrasound;"John Wiley &amp; Sons Inc."
Journal of Historical Sociology;Wiley-Blackwell Publishing Ltd
Journal of Logic, Language and Information;Springer Netherlands
Journal of Microelectronics and Electronic Packaging;IMAPS-International Microelectronics and Packaging Society
Journal of Special Education Leadership;Council of Administrators of Special Education in conjunction
Journal of the American Academy of Orthopaedic Surgeons Global Research and Reviews;Wolters Kluwer Health
Leviathan (Germany);Nomos Verlagsgesellschaft mbH und Co
Mathematica Bohemica;Academy of Sciences of the Czech Republic
Nexus Network Journal;Kim Williams
Pediatric Endocrinology, Diabetes and Metabolism;Termedia Publishing House Ltd.
Philosophical Inquiries;Edizioni ETS
Progress in the chemistry of organic natural products;Springer Verlag
South Asian Journal of Human Resources Management;SAGE Publications Ltd
Space and Culture;SAGE Publications Inc.
Stapp car crash journal;SAE International
Yaogan Xuebao/Journal of Remote Sensing;Science Press
Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society;Japan Welding Society
Asian Philosophy;Taylor and Francis Ltd.
Atlantic Journal of Communication;Taylor and Francis Ltd.
Egyptian Rheumatologist;The Egyptian Society for Joint Diseases and Arthritis
European Journal of Probation;SAGE Publications Ltd
European Transport - Trasporti Europei;Universita degli Studi di Trieste
Forensic Science International: Genetics Supplement Series;Elsevier Ireland Ltd
Gastroenterologia y Hepatologia;Ediciones Doyma, S.L.
Global Studies of Childhood;SAGE Publications Ltd
Indian Journal of Gender Studies;Sage Publications India Pvt. Ltd
International Commentary on Evidence;Walter de Gruyter GmbH
International Journal of Automation Technology;Fuji Technology Press
International Journal of Hydrology Science and Technology;Inderscience Enterprises Ltd
International Tinnitus Journal;Tinnitus Center
JAAPA : official journal of the American Academy of Physician Assistants;Lippincott Williams and Wilkins Ltd.
JAMS Journal of Acupuncture and Meridian Studies;Medical Association of Pharmacopuncture Institute
Journal of Addictions Nursing;Lippincott Williams and Wilkins Ltd.
Journal of Advanced Research in Fluid Mechanics and Thermal Sciences;Penerbit Akademia Baru
Journal of Chinese Human Resource Management;Emerald Group Publishing Ltd.
Journal of Communication in Healthcare;Maney Publishing
Journal of Crop Protection;Tarbiat Modares University
Journal of Thermal Science and Technology;Japan Society of Mechanical Engineers
Journal of the Royal Society of Western Australia;Royal Society of Western Australia Inc.
Journal of Transportation Security;Springer New York
Korea Observer;Institute of Korean Studies
Logica Universalis;Birkhauser Verlag Basel
Membrane Water Treatment;Techno Press
Neftyanoe khozyaystvo - Oil Industry;Neftyanoe Khozyaistvo
Pakistan Journal of Statistics;Pakistan Journal of Statistics
Philosophical Papers;Taylor and Francis Ltd.
Politix;Armand Colin Editeur
Population;Institut National d'Etudes Demographiques
Receptors;Humana Press
Research on Biomedical Engineering;Sociedade Brasileira de Engenharia Biomedica
Restaurator;Walter de Gruyter GmbH
Revista Brasileira de Ortopedia;Thieme
Rural Landscapes;Stockholm University Press
Russian Physics Journal;Springer New York
Saude e Sociedade;University of Sao Paolo
Time and Mind;Taylor and Francis Ltd.
Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya;Novosibirsk State University
Vikalpa;SAGE Publications Ltd
Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University;Science Press
Acta Dermatovenerologica Croatica;Croatian Dermatovenerological Society
Actas Dermo-Sifiliograficas;Ediciones Doyma, S.L.
AIMS Biophysics;AIMS Press
American Journal of Dermatopathology;Lippincott Williams and Wilkins Ltd.
Annals of Cardiac Anaesthesia;Wolters Kluwer Medknow Publications
Ansiedad y Estres;Sociedad Espanola para el Estudio de la Ansiedad y el Estres
Clinical Dysmorphology;Lippincott Williams and Wilkins
Decisions in Economics and Finance;Springer-Verlag Italia Srl
Eurasip Journal on Embedded Systems;Springer Publishing Company
Food and Foodways;Taylor and Francis Ltd.
Gaoya Dianqi/High Voltage Apparatus;Xi'an High Voltage Apparatus Research Institute
Human Movement;University School of Physical Education in Wroclaw
International Journal of Electronic Governance;Inderscience Publishers
Journal of Business Cycle Research;Springer International Publishing AG
Journal of International Communication;Taylor and Francis Ltd.
Journal of Research in Education Sciences;National Taiwan Normal University
Journal Wuhan University of Technology, Materials Science Edition;Springer Verlag
Neotropical Biology and Conservation;Unisinos
Northeastern Naturalist;Humboldt Field Research Institute
Physical Activity and Health;Ubiquity Press
Post-Medieval Archaeology;Maney Publishing
Psychoanalytic Psychotherapy;Routledge
Real Estate Management and Valuation;De Gruyter Open Ltd.
Research in Drama Education;Routledge
Sovremennaya Evropa;Institute of Europe of Russian Academy of Sciences
SPE International Oilfield Chemistry Symposium Proceedings;Society of Petroleum Engineers (SPE)
Strength, Fracture and Complexity;IOS Press BV
Theatre, Dance and Performance Training;Taylor and Francis Ltd.
Zeitschrift fur Kinder- und Jugendpsychiatrie und Psychotherapie;Hogrefe Publishing
Acta Phytotaxonomica et Geobotanica;
Anti-Corrosion Methods and Materials;Emerald Group Publishing Ltd.
Applied Econometrics;Sinergia Press
Australian Journal of Chemistry;CSIRO
Boletin de la Sociedad Geologica Mexicana;Sociedad Geologica Mexicana
Children's Literature in Education;Springer Netherlands
China Journal of Accounting Studies;Taylor and Francis Ltd.
Crime Prevention and Community Safety;Palgrave Macmillan Ltd.
Electronic Government;Inderscience Enterprises Ltd.
Geotechnical Special Publication;American Society of Civil Engineers (ASCE)
Horticultural Science;Czech Academy of Agricultural Sciences
Iranian Journal of Ichthyology;Iranian Society of Ichthyology
Iraqi Journal of Veterinary Sciences;University of Mosul - College of Veterinary Medicine
Journal of Education for Library and Information Science;University of Toronto Press
Journal of Optics (India);Optical Society of India
Journal of Radiosurgery and SBRT;Old City Publishing
Libyan Studies;Cambridge University Press
Lixue Xuebao/Chinese Journal of Theoretical and Applied Mechanics;Chinese Journal of Theoretical and Applied
Minerva Dental and Oral Science;Edizioni Minerva Medica S.p.A.
Open Systems and Information Dynamics;World Scientific Publishing Co. Pte Ltd
Person-Centered and Experiential Psychotherapies;Routledge
Portuguese Economic Journal;Springer Verlag
Proceedings of Institution of Civil Engineers: Energy;ICE Publishing
Proceedings of the International Association of Hydrological Sciences;Copernicus GmbH
RILEM Bookseries;Springer Science + Business Media
Soziale Welt;Nomos Verlagsgesellschaft mbH und Co
Studies in Agricultural Economics;NAIK Research Institute of Agricultural Economics
Text and Performance Quarterly;Routledge
Turkish Journal of Orthodontics;Aves
Asian Studies;University of Ljubljana
Brazilian Journal of Physics;Springer New York
Chilean Journal of Statistics;Chilean Statistical Society
Contemporary Islam;Springer Netherlands
Egitim Arastirmalari - Eurasian Journal of Educational Research;ANI Publishing
Enfermedades Infecciosas y Microbiologia Clinica;Ediciones Doyma, S.L.
Environmental Research, Engineering and Management;Kaunas University of Technology
Fauna Norvegica;Norwegian University of Science and Technology
Glasnik Matematicki;University of Zagreb
International Economic Journal;Taylor and Francis Ltd.
International Journal of Embedded Systems;Inderscience Enterprises Ltd
International Journal of Industrial and Systems Engineering;Inderscience Enterprises Ltd.
International Journal of Internet Marketing and Advertising;Inderscience Enterprises Ltd.
International journal of online and biomedical engineering;International Association of Online Engineering
International Journal of Veterinary Science;Unique Scientific Publishers
Johns Hopkins APL Technical Digest (Applied Physics Laboratory);Johns Hopkins University Press
Journal of Political Ideologies;Taylor and Francis Ltd.
Journal of the Magnetics Society of Japan;Magnetics Society of Japan
Journal of Verification, Validation and Uncertainty Quantification;The American Society of Mechanical Engineers(ASME)
Materialwissenschaft und Werkstofftechnik;Wiley-VCH Verlag
Mental Illness;PagePress Publications
Nigerian Journal of Clinical Practice;Wolters Kluwer Medknow Publications
Open Philosophy;Walter de Gruyter GmbH
Open Rheumatology Journal;Bentham Science Publishers B.V.
Planta Daninha;Sociedade Brasileira da Ciencia das Plantas Daninhas
Politics, Religion and Ideology;Taylor and Francis Ltd.
Prahistorische Zeitschrift;Walter de Gruyter GmbH
Primate Conservation;IUCN/SSC Primate Specialist Group
Processing and Application of Ceramics;University of Novi Sad
Quality Management in Health Care;Lippincott Williams and Wilkins Ltd.
Quaternaire;Association francaise pour l'etude du quaternaire
SAJCH South African Journal of Child Health;Health and Medical Publishing Group
Studies in Health Technology and Informatics;IOS Press BV
Turkish Journal of Plastic Surgery;Wolters Kluwer Medknow Publications
Welding Journal;American Welding Society
Antipoda;Universidad de los Andes
Arbitration International;Oxford University Press
Archives of Electrical Engineering;Polish Academy of Sciences
Asian Journal of Transfusion Science;Wolters Kluwer Medknow Publications
Design and Culture;Taylor and Francis Ltd.
Enfermeria Intensiva;Ediciones Doyma, S.L.
Estonian Journal of Archaeology;Estonian Academy Publishers
European Heart Journal - Case Reports;Oxford University Press
Future Cities and Environment;Ubiquity Press
Indonesian Journal of Electrical Engineering and Computer Science;Institute of Advanced Engineering and Science (IAES)
Interiority;Faculty of Engineering, Universitas Indonesia
International Journal of Internet Technology and Secured Transactions;Inderscience Publishers
Journal of Biological Physics;Springer Netherlands
Journal of Computational Finance;Incisive Media Ltd.
Journal of European Competition Law and Practice;Oxford University Press
Journal of Heart Valve Disease;ICR Publishers Ltd
Journal of Interactive Learning Research;Association for the Advancement of Computing in Education
Journal of Medical Imaging and Radiation Sciences;Elsevier Inc.
Journal of Regional Security;Belgrade Centre for Security Policy
Journal of Superhard Materials;Pleiades Publishing
Moscow Journal of Combinatorics and Number Theory;Mathematical Sciences Publishers
Proceedings of the Institution of Civil Engineers: Municipal Engineer;Thomas Telford Services Ltd.
Protection of Metals and Physical Chemistry of Surfaces;Pleiades Publishing
Radiation and Risk;National Medical Research Radiological Centre of the Ministry of Health of the Russian Federation
Review of Education;Wiley-Blackwell Publishing Ltd
Revista de Psicologia del Deporte;Sociedad Revista de Psicologia del Deporte
Revue Francaise de Pedagogie;Institut National de Recherche Pedagogique
Russian Journal of Herpetology;Folium Publishing Company
Source Code for Biology and Medicine;BioMed Central Ltd.
Transactions on Electrical and Electronic Materials;The Korean Institute of Electrical and Electronic Material Engineers
Ulusal Travma ve Acil Cerrahi Dergisi;Turkish Association of Trauma and Emergency Surgery
Advances in Mathematical Physics;Hindawi Publishing Corporation
Annals of Dermatology;Korean Dermatological Association
Asian Social Work and Policy Review;Wiley-Blackwell Publishing Ltd
Asia-Pacific Journal of Regional Science;Springer Science and Business Media Deutschland GmbH
Austrian Journal of South-East Asian Studies;Society for South-East Asian Studies
Biologia Futura;Akademiai Kiado
Chinese Education and Society;M.E. Sharpe Inc.
Constitutional Political Economy;Springer New York
Contemporary Economics;University of Economics and Human Sciences, Warsaw
Contemporary Mathematics;American Mathematical Society
Dianli Jianshe/Electric Power Construction;
Geosystem Engineering;Taylor and Francis Ltd.
Intelligent Systems, Control and Automation: Science and Engineering;Springer Science + Business Media
International Journal of Environmental Studies;Taylor and Francis Ltd.
International Journal of Tourism Anthropology;Inderscience Publishers
Journal of Electronic Resources in Medical Libraries;Routledge
Journal of Legal Medicine;Taylor and Francis Ltd.
Journal of System and Management Sciences;Success Culture Press
Radioengineering;Czech Technical University
Revista brasileira de enfermagem;Associacao Brasileira de Enfermagem
Sophia;Springer Netherlands
Synergy;Elsevier BV
Synthesis Lectures on Power Electronics;Morgan and Claypool Publishers
World Political Science;Walter de Gruyter GmbH
ACM Inroads;Association for Computing Machinery (ACM)
Annals of Clinical and Laboratory Science;Association of Clinical Scientists
Archives of Mining Sciences;Polish Academy of Sciences, Committee of Mining
Australian Journal of Advanced Nursing;Australian Nursing Federation
Biorheology;IOS Press BV
Cauriensia;Universidad de Extremadura - Caceres Theological Institute
Cidades;Instituto Universitario de Lisboa - DINAMIA CET-IUL
CoDAS;Brazilian Society of Speech-Language Pathology and Audiology
Discrete Dynamics in Nature and Society;Hindawi Publishing Corporation
Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica;AAAS Press of Chinese Society of Aeronautics and Astronautics
History of Psychiatry;SAGE Publications Ltd
