Title;Category;rank
Designed Monomers and Polymers;Materials Chemistry;Q2
Designed Monomers and Polymers;Polymers and Plastics;Q2
Geospatial health;Geography, Planning and Development;Q2
Geospatial health;Health Policy;Q2
Geospatial health;Health, social science;Q2
Geospatial health;Medicine, miscellaneous;Q3
Hemodialysis International;Hematology;Q3
Hemodialysis International;Nephrology;Q3
International Journal of Nephrology;Nephrology;Q3
Journal of Adhesion;Chemistry, miscellaneous;Q2
Journal of Adhesion;Materials Chemistry;Q2
Journal of Adhesion;Mechanics of Materials;Q2
Journal of Adhesion;Surfaces, Coatings and Films;Q2
Journal of Adhesion;Surfaces and Interfaces;Q3
Journal of Functional Morphology and Kinesiology;Anatomy;Q2
Journal of Functional Morphology and Kinesiology;Physical Therapy, Sports Therapy and Rehabilitation;Q2
Journal of Functional Morphology and Kinesiology;Histology;Q3
Journal of Functional Morphology and Kinesiology;Orthopedics and Sports Medicine;Q3
Journal of Functional Morphology and Kinesiology;Rheumatology;Q3
Journal of Geodetic Science;Computers in Earth Sciences;Q2
Journal of Geodetic Science;Earth and Planetary Sciences, miscellaneous;Q2
Journal of Geodetic Science;Geophysics;Q2
Journal of Geodetic Science;Applied Mathematics;Q3
Journal of Geodetic Science;Astronomy and Astrophysics;Q3
Policy Studies;Political Science and International Relations;Q1
Processes;Chemical Engineering, miscellaneous;Q2
Processes;Bioengineering;Q3
Processes;Process Chemistry and Technology;Q3
Radiologia Brasileira;Radiology, Nuclear Medicine and Imaging;Q3
South African Journal of Geology;Geology;Q2
Visceral Medicine;Surgery;Q2
Visceral Medicine;Gastroenterology;Q3
Critical Reviews in Therapeutic Drug Carrier Systems;Pharmaceutical Science;Q2
Critical Reviews in Therapeutic Drug Carrier Systems;Medicine, miscellaneous;Q3
Critical Reviews in Therapeutic Drug Carrier Systems;Pharmacology;Q3
Current Issues in Auditing;Accounting;Q2
Entrepreneurial Business and Economics Review;Political Science and International Relations;Q1
Entrepreneurial Business and Economics Review;Business and International Management;Q2
Entrepreneurial Business and Economics Review;Economics, Econometrics and Finance, miscellaneous;Q2
Entrepreneurial Business and Economics Review;Strategy and Management;Q2
Ethics in Science and Environmental Politics;Philosophy;Q1
Ethics in Science and Environmental Politics;Ecology;Q2
Ethics in Science and Environmental Politics;Education;Q2
Ethics in Science and Environmental Politics;Management, Monitoring, Policy and Law;Q2
Ethics in Science and Environmental Politics;Sociology and Political Science;Q2
International Journal of Polymeric Materials and Polymeric Biomaterials;Analytical Chemistry;Q2
International Journal of Polymeric Materials and Polymeric Biomaterials;Chemical Engineering, miscellaneous;Q2
International Journal of Polymeric Materials and Polymeric Biomaterials;Polymers and Plastics;Q2
International Review of Research in Developmental Disabilities;Developmental and Educational Psychology;Q3
International Review of Research in Developmental Disabilities;Psychiatry and Mental Health;Q3
Journal of Cluster Science;Chemistry, miscellaneous;Q2
Journal of Cluster Science;Condensed Matter Physics;Q2
Journal of Cluster Science;Materials Science, miscellaneous;Q2
Journal of Cluster Science;Biochemistry;Q3
Journal of Information Processing Systems;Information Systems;Q3
Journal of Information Processing Systems;Software;Q3
Journal of Innovative Optical Health Sciences;Atomic and Molecular Physics, and Optics;Q2
Journal of Innovative Optical Health Sciences;Electronic, Optical and Magnetic Materials;Q2
Journal of Innovative Optical Health Sciences;Biomedical Engineering;Q3
Journal of Innovative Optical Health Sciences;Medicine, miscellaneous;Q3
Journal of Physical Education, Recreation and Dance;Education;Q2
Journal of Physical Education, Recreation and Dance;Physical Therapy, Sports Therapy and Rehabilitation;Q2
Journal of Physical Education, Recreation and Dance;Orthopedics and Sports Medicine;Q3
Review of Financial Economics;Economics and Econometrics;Q2
Review of Financial Economics;Finance;Q2
South African Journal of Clinical Nutrition;Medicine, miscellaneous;Q3
South African Journal of Clinical Nutrition;Nutrition and Dietetics;Q3
Australasian Emergency Care;Emergency Nursing;Q2
Australian Forestry;Forestry;Q2
Biochemia Medica;Biochemistry, medical;Q3
Biochemia Medica;Clinical Biochemistry;Q3
Community College Journal of Research and Practice;Education;Q2
ESAIM - Probability and Statistics;Statistics and Probability;Q3
International Journal of Trichology;Dermatology;Q2
Journal of Bryology;Ecology, Evolution, Behavior and Systematics;Q2
Journal of Bryology;Plant Science;Q2
Journal of Comparative Effectiveness Research;Health Policy;Q3
Journal of Food Processing and Preservation;Chemical Engineering, miscellaneous;Q2
Journal of Food Processing and Preservation;Chemistry, miscellaneous;Q2
Journal of Food Processing and Preservation;Food Science;Q2
Journal of International Advanced Otology;Otorhinolaryngology;Q2
Journal of International Advanced Otology;Medicine, miscellaneous;Q3
Journal of Multicultural Counseling and Development;Cultural Studies;Q1
Journal of Multicultural Counseling and Development;Applied Psychology;Q3
Journal of Osteoporosis;Endocrinology;Q3
Journal of Osteoporosis;Endocrinology, Diabetes and Metabolism;Q3
Marine Ecology;Aquatic Science;Q2
Marine Ecology;Ecology;Q2
Marine Ecology;Ecology, Evolution, Behavior and Systematics;Q2
Nursing Education Perspectives;Education;Q2
Nursing Education Perspectives;Nursing, miscellaneous;Q2
Nursing Education Perspectives;Medicine, miscellaneous;Q3
Qualitative Research in Organizations and Management;Business, Management and Accounting, miscellaneous;Q2
Qualitative Research in Organizations and Management;Organizational Behavior and Human Resource Management;Q3
Random Matrices: Theory and Application;Algebra and Number Theory;Q3
Random Matrices: Theory and Application;Discrete Mathematics and Combinatorics;Q3
Random Matrices: Theory and Application;Statistics and Probability;Q3
Random Matrices: Theory and Application;Statistics, Probability and Uncertainty;Q3
Research in Comparative and International Education;Education;Q2
Statistical Analysis and Data Mining;Analysis;Q3
Statistical Analysis and Data Mining;Computer Science Applications;Q3
Statistical Analysis and Data Mining;Information Systems;Q3
Vasa - European Journal of Vascular Medicine;Cardiology and Cardiovascular Medicine;Q3
Zeitschrift fur Physikalische Chemie;Physical and Theoretical Chemistry;Q2
American Sociologist, The;Social Sciences, miscellaneous;Q2
American Sociologist, The;Sociology and Political Science;Q2
Annals of Thoracic and Cardiovascular Surgery;Surgery;Q2
Annals of Thoracic and Cardiovascular Surgery;Cardiology and Cardiovascular Medicine;Q3
Annals of Thoracic and Cardiovascular Surgery;Gastroenterology;Q3
Annals of Thoracic and Cardiovascular Surgery;Medicine, miscellaneous;Q3
Annals of Thoracic and Cardiovascular Surgery;Pulmonary and Respiratory Medicine;Q3
Canadian Geographer / Geographie Canadien;Earth-Surface Processes;Q2
Canadian Geographer / Geographie Canadien;Geography, Planning and Development;Q2
Education and Treatment of Children;Education;Q2
Education and Treatment of Children;Developmental and Educational Psychology;Q3
Education Policy Analysis Archives;Education;Q2
Ethnopolitics;Cultural Studies;Q1
Ethnopolitics;History;Q1
Ethnopolitics;Political Science and International Relations;Q1
Ground Water Monitoring and Remediation;Civil and Structural Engineering;Q2
Ground Water Monitoring and Remediation;Water Science and Technology;Q2
Journal of Addictive Diseases;Clinical Psychology;Q2
Journal of Addictive Diseases;Medicine, miscellaneous;Q3
Journal of Addictive Diseases;Psychiatry and Mental Health;Q3
Journal of Ecology and Environment;Ecology;Q2
Journal of Ecology and Environment;Ecology, Evolution, Behavior and Systematics;Q2
Journal of Infection in Developing Countries;Infectious Diseases;Q3
Journal of Infection in Developing Countries;Medicine, miscellaneous;Q3
Journal of Infection in Developing Countries;Microbiology;Q3
Journal of Infection in Developing Countries;Parasitology;Q3
Journal of Infection in Developing Countries;Virology;Q4
Matematychni Studii;Mathematics, miscellaneous;Q2
Mining Technology: Transactions of the Institute of Mining and Metallurgy;Geology;Q2
Mining Technology: Transactions of the Institute of Mining and Metallurgy;Geotechnical Engineering and Engineering Geology;Q2
Mir Rossii;Demography;Q2
Mir Rossii;Development;Q2
Mir Rossii;Economics and Econometrics;Q2
Mir Rossii;Sociology and Political Science;Q2
Pacific Affairs;Geography, Planning and Development;Q2
Pacific Affairs;Sociology and Political Science;Q2
Revista Internacional de Educacion para la Justicia Social;Education;Q2
Revista Internacional de Educacion para la Justicia Social;Sociology and Political Science;Q2
Social Influence;Social Psychology;Q2
Swiss Journal of Palaeontology;Paleontology;Q2
American Family Physician;Family Practice;Q2
American Family Physician;Medicine, miscellaneous;Q3
Applicable Algebra in Engineering, Communications and Computing;Algebra and Number Theory;Q3
Applicable Algebra in Engineering, Communications and Computing;Applied Mathematics;Q3
Australian Review of Applied Linguistics;Linguistics and Language;Q1
British Journal of Learning Disabilities;Pediatrics;Q2
British Journal of Learning Disabilities;Psychiatry and Mental Health;Q3
Canadian Journal of Emergency Medicine;Emergency Medicine;Q2
Epilepsy Currents;Neurology, clinical;Q3
FME Transactions;Mechanical Engineering;Q2
FME Transactions;Mechanics of Materials;Q2
Health Systems;Computer Science Applications;Q3
Health Systems;Health Informatics;Q3
Health Systems;Health Information Management;Q3
Health Systems;Health Policy;Q3
Indian journal of public health;Medicine, miscellaneous;Q3
Journal of Aerospace Information Systems;Aerospace Engineering;Q2
Journal of Aerospace Information Systems;Electrical and Electronic Engineering;Q2
Journal of Aerospace Information Systems;Computer Science Applications;Q3
Journal of Behavioral Health Services and Research;Health, social science;Q2
Journal of Behavioral Health Services and Research;Health Policy;Q3
Journal of Behavioral Health Services and Research;Public Health, Environmental and Occupational Health;Q3
Journal of Earth System Science;Earth and Planetary Sciences, miscellaneous;Q2
Journal of the American Animal Hospital Association;Small Animals;Q2
Journal of the American Animal Hospital Association;Medicine, miscellaneous;Q3
Medicine (United States);Medicine, miscellaneous;Q3
Organogenesis;Transplantation;Q2
Organogenesis;Biomedical Engineering;Q3
Organogenesis;Embryology;Q3
Organogenesis;Developmental Biology;Q4
Proceedings of the International Conference on Supercomputing;Computer Science, miscellaneous
Religion, State and Society;Religious Studies;Q1
Religion, State and Society;Sociology and Political Science;Q2
Textile Reseach Journal;Chemical Engineering, miscellaneous;Q2
Textile Reseach Journal;Polymers and Plastics;Q2
Zoology in the Middle East;Animal Science and Zoology;Q2
Arabian Journal for Science and Engineering;Multidisciplinary;Q1
Arkiv for Matematik;Mathematics, miscellaneous;Q2
Australian Veterinary Journal;Veterinary, miscellaneous;Q2
Australian Veterinary Journal;Medicine, miscellaneous;Q3
Health Care Analysis;Health, social science;Q2
Health Care Analysis;Issues, Ethics and Legal Aspects;Q2
Health Care Analysis;Health Policy;Q3
International Journal of Agronomy;Agronomy and Crop Science;Q2
International Journal of Leadership in Education;Arts and Humanities, miscellaneous;Q2
International Journal of Leadership in Education;Education;Q2
International Journal of Leadership in Education;Strategy and Management;Q2
International Journal of the Economics of Business;Business, Management and Accounting, miscellaneous;Q2
International Journal of the Economics of Business;Economics and Econometrics;Q2
Journal for the Theory of Social Behaviour;Philosophy;Q1
Journal for the Theory of Social Behaviour;Psychology, miscellaneous;Q2
Journal for the Theory of Social Behaviour;Social Psychology;Q3
Journal of Global Information Management;Business and International Management;Q2
Journal of Global Information Management;Information Systems and Management;Q2
Journal of Global Information Management;Strategy and Management;Q2
Journal of Global Information Management;Computer Science Applications;Q3
Journal of Global Information Management;E-learning;Q3
Journal of Global Information Management;Management Science and Operations Research;Q3
Journal of Oral Implantology;Oral Surgery;Q3
Journal of Outdoor and Environmental Education;Education;Q2
Journal of Outdoor and Environmental Education;Physical Therapy, Sports Therapy and Rehabilitation;Q2
Journal of the Korean Statistical Society;Statistics and Probability;Q3
Journal of wound care;Fundamentals and Skills;Q2
Journal of wound care;Nursing, miscellaneous;Q2
Omega: Journal of Death and Dying;Critical Care and Intensive Care Medicine;Q2
Omega: Journal of Death and Dying;Health, social science;Q2
Omega: Journal of Death and Dying;Life-span and Life-course Studies;Q3
Ophthalmic Genetics;Ophthalmology;Q2
Ophthalmic Genetics;Pediatrics, Perinatology and Child Health;Q2
Ophthalmic Genetics;Genetics, clinical;Q3
Pediatric Gastroenterology, Hepatology and Nutrition;Pediatrics, Perinatology and Child Health;Q2
Pediatric Gastroenterology, Hepatology and Nutrition;Gastroenterology;Q3
Pediatric Gastroenterology, Hepatology and Nutrition;Hepatology;Q3
Photomedicine and Laser Surgery;Biomedical Engineering;Q3
Photomedicine and Laser Surgery;Radiology, Nuclear Medicine and Imaging;Q3
Physiotherapy Research International;Physical Therapy, Sports Therapy and Rehabilitation;Q2
Psychoanalytic Dialogues;Clinical Psychology;Q2
Psychology Learning and Teaching;Education;Q2
Psychology Learning and Teaching;Psychology, miscellaneous;Q2
Reproduction, Fertility and Development;Animal Science and Zoology;Q2
Reproduction, Fertility and Development;Biotechnology;Q3
Reproduction, Fertility and Development;Endocrinology;Q3
Reproduction, Fertility and Development;Genetics;Q3
Reproduction, Fertility and Development;Reproductive Medicine;Q3
Reproduction, Fertility and Development;Developmental Biology;Q4
Reproduction, Fertility and Development;Molecular Biology;Q4
Social Inclusion;Sociology and Political Science;Q2
Social Inclusion;Social Psychology;Q3
Advances in High Energy Physics;Nuclear and High Energy Physics;Q3
Annals of Rehabilitation Medicine;Rehabilitation;Q2
Anthropological Science;Anthropology;Q1
Aquatic Insects;Ecology, Evolution, Behavior and Systematics;Q2
Aquatic Insects;Insect Science;Q2
Aquatic Insects;Aquatic Science;Q3
Canadian Pharmacists Journal;Pharmacy;Q1
Canadian Pharmacists Journal;Pharmaceutical Science;Q2
Communications in Applied Mathematics and Computational Science;Applied Mathematics;Q3
Communications in Applied Mathematics and Computational Science;Computational Theory and Mathematics;Q3
Communications in Applied Mathematics and Computational Science;Computer Science Applications;Q3
Corrosion Reviews;Chemical Engineering, miscellaneous;Q2
Corrosion Reviews;Chemistry, miscellaneous;Q2
Corrosion Reviews;Materials Science, miscellaneous;Q2
European Journal of Applied Mathematics;Applied Mathematics;Q3
Horticulturae;Horticulture;Q1
Horticulturae;Plant Science;Q2
Information Development;Library and Information Sciences;Q2
Intereconomics;Business, Management and Accounting, miscellaneous;Q2
Intereconomics;Economics, Econometrics and Finance, miscellaneous;Q2
International Journal of Energy Sector Management;Energy, miscellaneous;Q2
International Journal of Energy Sector Management;Strategy and Management;Q2
International Journal of Wine Business Research;Business, Management and Accounting, miscellaneous;Q2
Journal of Automation and Information Sciences;Control and Systems Engineering;Q2
Journal of Automation and Information Sciences;Information Systems;Q3
Journal of Automation and Information Sciences;Software;Q3
Journal of Corporate Real Estate;Business, Management and Accounting, miscellaneous;Q2
Journal of Corporate Real Estate;Finance;Q2
Journal of Labelled Compounds and Radiopharmaceuticals;Analytical Chemistry;Q2
Journal of Labelled Compounds and Radiopharmaceuticals;Organic Chemistry;Q2
Journal of Labelled Compounds and Radiopharmaceuticals;Spectroscopy;Q2
Journal of Labelled Compounds and Radiopharmaceuticals;Biochemistry;Q3
Journal of Labelled Compounds and Radiopharmaceuticals;Drug Discovery;Q3
Journal of Labelled Compounds and Radiopharmaceuticals;Radiology, Nuclear Medicine and Imaging;Q3
Journal of Limnology;Aquatic Science;Q2
Journal of Limnology;Ecology;Q2
Journal of Limnology;Water Science and Technology;Q2
Journal of Strain Analysis for Engineering Design;Mechanical Engineering;Q2
Journal of Strain Analysis for Engineering Design;Mechanics of Materials;Q2
Journal of Strain Analysis for Engineering Design;Applied Mathematics;Q3
Journal of Strain Analysis for Engineering Design;Modeling and Simulation;Q3
Journal of Tropical Ecology;Ecology, Evolution, Behavior and Systematics;Q2
Marketing Education Review;Education;Q2
Research in the Sociology of Organizations;Social Sciences, miscellaneous;Q2
Research in the Sociology of Organizations;Sociology and Political Science;Q2
Research in the Sociology of Organizations;Organizational Behavior and Human Resource Management;Q3
Scientia et Fides;Philosophy;Q1
Scientia et Fides;Religious Studies;Q1
Thin Solid Films;Electronic, Optical and Magnetic Materials;Q2
Thin Solid Films;Materials Chemistry;Q2
Thin Solid Films;Metals and Alloys;Q2
Thin Solid Films;Surfaces, Coatings and Films;Q2
Thin Solid Films;Surfaces and Interfaces;Q3
Agrekon;Agronomy and Crop Science;Q2
Agrekon;Economics and Econometrics;Q2
Agrekon;Geography, Planning and Development;Q2
Asia Pacific Journal of Education;Education;Q2
BioInvasions Records;Ecology;Q2
BioInvasions Records;Ecology, Evolution, Behavior and Systematics;Q2
Development in Practice;Development;Q2
Development in Practice;Geography, Planning and Development;Q2
Energy Exploration and Exploitation;Energy Engineering and Power Technology;Q2
Energy Exploration and Exploitation;Nuclear Energy and Engineering;Q2
Energy Exploration and Exploitation;Fuel Technology;Q3
Energy Exploration and Exploitation;Renewable Energy, Sustainability and the Environment;Q3
Environmental Modeling and Assessment;Environmental Science, miscellaneous;Q2
Ethnos;Anthropology;Q1
Ethnos;Archeology;Q1
Ethnos;Arts and Humanities, miscellaneous;Q2
International Journal of the Sociology of Language;Linguistics and Language;Q1
Journal of Applied Biomaterials and Functional Materials;Bioengineering;Q3
Journal of Applied Biomaterials and Functional Materials;Biomaterials;Q3
Journal of Applied Biomaterials and Functional Materials;Biomedical Engineering;Q3
Journal of Applied Biomaterials and Functional Materials;Biophysics;Q3
Journal of Applied Biomaterials and Functional Materials;Medicine, miscellaneous;Q3
Journal of Veterinary Medical Education;Education;Q2
Journal of Veterinary Medical Education;Veterinary, miscellaneous;Q2
Journal of Veterinary Medical Education;Medicine, miscellaneous;Q3
Library Hi Tech;Library and Information Sciences;Q2
Library Hi Tech;Information Systems;Q3
Perspectives: Policy and Practice in Higher Education;Education;Q2
Presence: Teleoperators and Virtual Environments;Control and Systems Engineering;Q2
Presence: Teleoperators and Virtual Environments;Computer Vision and Pattern Recognition;Q3
Presence: Teleoperators and Virtual Environments;Human-Computer Interaction;Q3
Presence: Teleoperators and Virtual Environments;Software;Q3
Proceedings of the Institution of Mechanical Engineers Part M: Journal of Engineering for the Maritime Environment;Mechanical Engineering;Q2
Proceedings of the Institution of Mechanical Engineers Part M: Journal of Engineering for the Maritime Environment;Ocean Engineering;Q2
Wildlife Society Bulletin;Nature and Landscape Conservation;Q2
Akustika;Acoustics and Ultrasonics;Q2
Behaviour Change;Clinical Psychology;Q2
Behaviour Change;Experimental and Cognitive Psychology;Q3
Fisheries Science;Aquatic Science;Q3
Homology, Homotopy and Applications;Mathematics, miscellaneous;Q2
International Journal of Knowledge Management;Management Information Systems;Q2
International Journal of Knowledge Management;Management of Technology and Innovation;Q2
International Journal of Knowledge Management;Computer Science Applications;Q3
Journal of Asset Management;Business and International Management;Q2
Journal of Asset Management;Information Systems and Management;Q2
Journal of Asset Management;Strategy and Management;Q2
Journal of Insects as Food and Feed;Food Science;Q2
Journal of Insects as Food and Feed;Insect Science;Q2
Medical Law Review;Law;Q1
Medical Law Review;Medicine, miscellaneous;Q3
Medicine, Health Care and Philosophy;Education;Q2
Medicine, Health Care and Philosophy;Health, social science;Q2
Medicine, Health Care and Philosophy;Health Policy;Q3
Mining Informational and Analytical Bulletin;Ecology;Q2
Mining Informational and Analytical Bulletin;Geology;Q2
Mining Informational and Analytical Bulletin;Geotechnical Engineering and Engineering Geology;Q2
Mining Informational and Analytical Bulletin;Industrial and Manufacturing Engineering;Q2
Mining Informational and Analytical Bulletin;Geochemistry and Petrology;Q3
Molecular and Biochemical Parasitology;Parasitology;Q3
Molecular and Biochemical Parasitology;Molecular Biology;Q4
Mycobiology;Plant Science;Q2
Mycobiology;Infectious Diseases;Q3
Mycobiology;Microbiology;Q3
PET Clinics;Radiation;Q2
PET Clinics;Medicine, miscellaneous;Q3
PET Clinics;Radiology, Nuclear Medicine and Imaging;Q3
Records Management Journal;Library and Information Sciences;Q2
Records Management Journal;Management Information Systems;Q2
Ethical Theory and Moral Practice;Philosophy;Q1
Ethical Theory and Moral Practice;Social Sciences, miscellaneous;Q2
Folia Microbiologica;Medicine, miscellaneous;Q3
Folia Microbiologica;Microbiology;Q3
Food, Culture and Society;Cultural Studies;Q1
Food, Culture and Society;Food Science;Q2
Food, Culture and Society;Social Psychology;Q3
International Journal for Educational and Vocational Guidance;Visual Arts and Performing Arts;Q1
International Journal for Educational and Vocational Guidance;Education;Q2
International Journal of Fertility and Sterility;Obstetrics and Gynecology;Q2
International Journal of Fertility and Sterility;Reproductive Medicine;Q3
Journal of Materials Engineering and Performance;Materials Science, miscellaneous;Q2
Journal of Materials Engineering and Performance;Mechanical Engineering;Q2
Journal of Materials Engineering and Performance;Mechanics of Materials;Q2
Journal of Modelling in Management;Decision Sciences, miscellaneous;Q2
Journal of Modelling in Management;Strategy and Management;Q2
Journal of Modelling in Management;Management Science and Operations Research;Q3
Journal of Social Work Practice;Drug Guides;Q1
Journal of Social Work Practice;Health, social science;Q2
Journal of Social Work Practice;Social Sciences, miscellaneous;Q2
Journal of Social Work Practice;Social Work;Q3
Journal of Sol-Gel Science and Technology;Ceramics and Composites;Q2
Journal of Sol-Gel Science and Technology;Chemistry, miscellaneous;Q2
Journal of Sol-Gel Science and Technology;Condensed Matter Physics;Q2
Journal of Sol-Gel Science and Technology;Electronic, Optical and Magnetic Materials;Q2
Journal of Sol-Gel Science and Technology;Materials Chemistry;Q2
Journal of Sol-Gel Science and Technology;Biomaterials;Q3
Journal of the European Optical Society-Rapid Publications;Atomic and Molecular Physics, and Optics;Q2
Perfusion (United Kingdom);Advanced and Specialized Nursing;Q1
Perfusion (United Kingdom);Safety Research;Q2
Perfusion (United Kingdom);Cardiology and Cardiovascular Medicine;Q3
Perfusion (United Kingdom);Medicine, miscellaneous;Q3
Perfusion (United Kingdom);Radiology, Nuclear Medicine and Imaging;Q3
Plant Biotechnology Reports;Plant Science;Q2
Plant Biotechnology Reports;Biotechnology;Q3
Polish Maritime Research;Mechanical Engineering;Q2
Polish Maritime Research;Ocean Engineering;Q2
Polymer-Plastics Technology and Materials;Chemical Engineering, miscellaneous;Q2
Polymer-Plastics Technology and Materials;Materials Chemistry;Q2
Polymer-Plastics Technology and Materials;Polymers and Plastics;Q2
Senses and Society;Cultural Studies;Q1
Senses and Society;Communication;Q2
Small Ruminant Research;Animal Science and Zoology;Q2
Small Ruminant Research;Food Animals;Q2
Smart and Sustainable Built Environment;Architecture;Q1
Smart and Sustainable Built Environment;Cultural Studies;Q1
Smart and Sustainable Built Environment;Building and Construction;Q2
Smart and Sustainable Built Environment;Civil and Structural Engineering;Q2
Smart and Sustainable Built Environment;Management, Monitoring, Policy and Law;Q2
Smart and Sustainable Built Environment;Urban Studies;Q2
Smart and Sustainable Built Environment;Human Factors and Ergonomics;Q3
Smart and Sustainable Built Environment;Renewable Energy, Sustainability and the Environment;Q3
Statistics and Probability Letters;Statistics and Probability;Q3
Statistics and Probability Letters;Statistics, Probability and Uncertainty;Q3
Stigma and Health;Clinical Psychology;Q2
Stigma and Health;Health Policy;Q3
Stigma and Health;Psychiatry and Mental Health;Q3
Stigma and Health;Public Health, Environmental and Occupational Health;Q3
Stigma and Health;Social Psychology;Q3
African Journal of Wildlife Research;Animal Science and Zoology;Q2
African Journal of Wildlife Research;Ecology;Q2
Anesthesiology and Pain Medicine;Anesthesiology and Pain Medicine;Q2
Asian Pacific Journal of Cancer Prevention;Epidemiology;Q3
Asian Pacific Journal of Cancer Prevention;Oncology;Q3
Asian Pacific Journal of Cancer Prevention;Public Health, Environmental and Occupational Health;Q3
Asian Pacific Journal of Cancer Prevention;Cancer Research;Q4
Biological Agriculture and Horticulture;Horticulture;Q1
Biological Agriculture and Horticulture;Agronomy and Crop Science;Q2
European Heart Journal, Supplement;Cardiology and Cardiovascular Medicine;Q3
Growth Hormone and IGF Research;Endocrinology;Q3
Growth Hormone and IGF Research;Endocrinology, Diabetes and Metabolism;Q3
Health Psychology Research;Clinical Psychology;Q2
Health Psychology Research;Psychiatry and Mental Health;Q3
Health Psychology Research;Social Psychology;Q3
Infinite Dimensional Analysis, Quantum Probability and Related Topics;Mathematical Physics;Q2
Infinite Dimensional Analysis, Quantum Probability and Related Topics;Applied Mathematics;Q3
Infinite Dimensional Analysis, Quantum Probability and Related Topics;Statistical and Nonlinear Physics;Q3
Infinite Dimensional Analysis, Quantum Probability and Related Topics;Statistics and Probability;Q3
International Journal of Circumpolar Health;Health, social science;Q2
International Journal of Circumpolar Health;Epidemiology;Q3
International Journal of Circumpolar Health;Medicine, miscellaneous;Q3
International Journal of Circumpolar Health;Public Health, Environmental and Occupational Health;Q3
International Review of Finance;Economics and Econometrics;Q2
International Review of Finance;Finance;Q2
Journal of Basic Microbiology;Applied Microbiology and Biotechnology;Q3
Journal of Basic Microbiology;Medicine, miscellaneous;Q3
Journal of Behavioral Finance;Finance;Q2
Journal of Behavioral Finance;Experimental and Cognitive Psychology;Q3
Journal of Clinical Rheumatology;Medicine, miscellaneous;Q3
Journal of Clinical Rheumatology;Rheumatology;Q3
Journal of Materials Science: Materials in Electronics;Atomic and Molecular Physics, and Optics;Q2
Journal of Materials Science: Materials in Electronics;Condensed Matter Physics;Q2
Journal of Materials Science: Materials in Electronics;Electrical and Electronic Engineering;Q2
Journal of Materials Science: Materials in Electronics;Electronic, Optical and Magnetic Materials;Q2
Journal of Materials Science: Materials in Electronics;Bioengineering;Q3
Journal of Materials Science: Materials in Electronics;Biomaterials;Q3
Journal of Materials Science: Materials in Electronics;Biomedical Engineering;Q3
Journal of Materials Science: Materials in Electronics;Biophysics;Q3
Journal of Psycholinguistic Research;Linguistics and Language;Q1
Journal of Psycholinguistic Research;Psychology, miscellaneous;Q2
Journal of Psycholinguistic Research;Experimental and Cognitive Psychology;Q3
Journal of Scholarly Publishing;Media Technology;Q1
Journal of Scholarly Publishing;Education;Q2
Nondestructive Testing and Evaluation;Materials Science, miscellaneous;Q2
Nondestructive Testing and Evaluation;Mechanical Engineering;Q2
Nondestructive Testing and Evaluation;Mechanics of Materials;Q2
Nondestructive Testing and Evaluation;Physics and Astronomy, miscellaneous;Q2
Photobiomodulation, Photomedicine, and Laser Surgery;Biomedical Engineering;Q3
Photobiomodulation, Photomedicine, and Laser Surgery;Radiology, Nuclear Medicine and Imaging;Q3
Psicologia: Reflexao e Critica;Psychology, miscellaneous;Q2
Veterinary Record Open;Veterinary, miscellaneous;Q2
Anti-Cancer Drugs;Oncology;Q3
Anti-Cancer Drugs;Pharmacology;Q3
Anti-Cancer Drugs;Pharmacology, medical;Q3
Anti-Cancer Drugs;Cancer Research;Q4
Asian Herpetological Research;Animal Science and Zoology;Q2
BMC Surgery;Surgery;Q2
BMC Surgery;Medicine, miscellaneous;Q3
Chemical Physics Letters;Physical and Theoretical Chemistry;Q2
Chemical Physics Letters;Physics and Astronomy, miscellaneous;Q2
CIGRE Science and Engineering;Control and Systems Engineering;Q2
CIGRE Science and Engineering;Electrical and Electronic Engineering;Q2
CIGRE Science and Engineering;Energy Engineering and Power Technology;Q2
CIGRE Science and Engineering;Renewable Energy, Sustainability and the Environment;Q3
Complexity;Multidisciplinary;Q1
Complexity;Computer Science, miscellaneous;Q2
Ecology of Food and Nutrition;Ecology;Q2
Ecology of Food and Nutrition;Food Science;Q2
Ecology of Food and Nutrition;Medicine, miscellaneous;Q3
Environmental Engineering Science;Environmental Chemistry;Q3
Environmental Engineering Science;Pollution;Q3
Environmental Engineering Science;Waste Management and Disposal;Q3
Genomics and Informatics;Ecology, Evolution, Behavior and Systematics;Q2
Genomics and Informatics;Genetics;Q3
Genomics and Informatics;Health Informatics;Q3
Inorganic Chemistry Communication;Inorganic Chemistry;Q2
Inorganic Chemistry Communication;Materials Chemistry;Q2
Inorganic Chemistry Communication;Physical and Theoretical Chemistry;Q2
International Journal of Quantum Chemistry;Atomic and Molecular Physics, and Optics;Q2
International Journal of Quantum Chemistry;Condensed Matter Physics;Q2
International Journal of Quantum Chemistry;Physical and Theoretical Chemistry;Q2
International Review of Applied Economics;Economics and Econometrics;Q2
Journal of Dental Education;Dentistry, miscellaneous;Q2
Journal of Dental Education;Education;Q2
Journal of Dental Education;Medicine, miscellaneous;Q3
Journal of Environmental Pathology, Toxicology and Oncology;Pathology and Forensic Medicine;Q2
Journal of Environmental Pathology, Toxicology and Oncology;Health, Toxicology and Mutagenesis;Q3
